Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,65.38075,0,0,102.58,105.0551,0.618763,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3305064,0.9676974,0.7251642,0.3469285,911.0461,61.3518,9.287961,4.54678,100.638,104.3345,0.9241223,440.77172981394,440.0945,24.42435,385.766432299383,384.7206,21.05162,86.74777,86.86794,183.4518,10.12007
1.999998,B,1.999998,0.650592,-0.1558015,0.7249117,-0.05526821,653.5532,57.5726,35.23174,-2.708635,98.696,104.9335,1.559367,313.513519953765,312.2428,28.1986,752.417620203465,750.3661,48.18969,85.61221,86.32542,765.1434,44.3265
2.999998,B,2.999998,0.9012495,-0.03162821,0.7313232,-0.01108465,584.6801,54.59232,65.99133,-1.005524,96.75399,105.0319,2.06948,273.6376779022,272.5438,24.44291,1037.66519622401,1034.622,72.0777,85.57922,86.01488,1662.611,104.7037
3.999997,B,3.999997,1.132928,0.00775839,1.017527,0.002252249,595.0247,51.69384,138.8139,0.3084538,94.81199,105.3876,2.643902,251.885891296262,250.865,22.65511,1298.5055839044,1294.454,95.1618,85.48044,85.79546,2830.6,188.4197
5.00002,B,5.00002,1.354722,0.001046445,0.987012,0.0003025979,592.3494,48.78699,182.0978,0.05600031,92.86994,104.7332,2.965803,238.506537692266,237.4484,22.44161,1544.80879072428,1539.729,117.8401,85.3533,85.62351,4249.979,294.9376
6.000038,S,0.18,1.459908,0.02321845,0.8646408,0.006789704,0,24.04479,105.3835,0.8258055,53.15,61.29545,2.61072,-173.093987513774,-172.6741,-12.04922,1651.35791236991,1645.791,128.1454,85.31728,85.54779,5885.63,421.8966
7.000038,S,1.179999,1.332225,-0.006645995,0.8138121,-0.002029717,0,24.04479,77.19044,-0.1921723,53.15,61.2827,2.606634,-135.388761622551,-135.1565,-7.926997,1499.1536659255,1493.841,118.7633,85.16833,85.45444,7451.586,545.1356
8.000036,S,2.179998,1.228719,0.001878698,0.7983924,0.0001729586,0,24.04479,60.36888,0.01305651,53.15,61.27344,2.603667,-112.876128251896,-112.6853,-6.560754,1376.02559643319,1370.89,111.4381,85.05017,85.35271,8881.479,660.0897
9.000036,S,3.179997,1.140332,-0.001092845,0.7984332,-0.0002634984,0,24.04479,49.33104,-0.0162551,53.15,61.26762,2.601801,-98.1086408284046,-97.95687,-5.455,1271.29205185992,1266.279,105.4523,84.90901,85.23955,10198.28,768.4393
10.00004,S,4.180001,1.062073,0.002520156,0.8047134,0.0005624091,0,24.04479,41.05495,0.02865077,53.15,61.27299,2.603523,-87.0336506618782,-86.90578,-4.716116,1179.05477507946,1174.125,100.3713,84.76126,85.11389,11417.11,871.2849
11.00006,S,5.180024,0.9939827,0.001394502,0.7145134,0.0003225405,0,24.04479,30.48694,0.01374398,53.15,61.09861,2.547632,-72.8978697058284,-72.80939,-3.590562,1099.15291395063,1094.264,96.21898,84.5954,84.97489,12549.66,969.4825
12.00008,S,6.180047,1.001543,0.001040751,0.6080455,0.0002405309,335.0731,23.82487,25.21021,0.0100426,53.00495,61.12299,2.601936,386.444452993177,384.2746,40.89434,1107.92721819991,1102.673,100.4378,84.41881,84.79553,13616.02,1064.694
13.00011,S,7.180069,1.409401,0.0009654601,0.7082841,0.0002181429,365.2357,22.1461,55.06012,0.01704979,52.19929,61.30378,2.918106,418.628801108825,416.1663,45.33965,1550.55226418857,1542.799,147.5313,84.26881,84.53766,14937.19,1188.194
14.00013,S,8.180092,1.792028,0.0005036957,0.6778136,0.0001115824,361.8976,20.56119,79.16611,0.01308722,51.39363,61.19064,3.140065,410.429313117521,407.8954,45.5364,1957.91804806975,1947.714,192.2978,84.14835,84.36147,16684.81,1358.06
15.00015,S,9.180115,2.192979,0.0003680409,0.5458085,0.00007954038,357.8195,19.00715,87.08549,0.01273657,50.58798,60.9645,3.325808,426.299435302469,423.5959,47.93456,2376.41693697206,2363.609,239.0589,84.04908,84.22466,18841.21,1573.534
16.00018,S,10.18014,2.580322,0.0003325855,0.4614924,0.00006980768,94.05469,17.61916,91.14434,0.0137843,49.78232,60.40506,3.404723,-26.9454491377712,-26.928,0.9695593,2764.19972889008,2748.88,283.2831,83.9653,84.11621,21416.99,1836.511
17.0002,S,11.18016,2.448751,0.0003154556,0.6270852,0.00006268566,0,17.56907,98.98093,0.009878235,49.5488,60.61649,3.547338,-213.285169421281,-212.4527,-18.82588,2594.68195809289,2579.906,269.1781,83.88274,84.04352,24099.92,2114.808
18.00022,S,12.18018,2.285248,0.0004074728,0.6631222,0.00008472609,0,17.56907,81.43047,0.01038855,49.5488,60.85138,3.622621,-181.146524921231,-180.4657,-15.69059,2398.37131896077,2384.309,252.0018,83.79285,83.96671,26578.39,2375.136
19.00024,S,13.18021,2.144478,0.0004257252,0.6979403,0.0000945166,0,17.56907,67.8257,0.00917225,49.5488,61.01664,3.675589,-156.233656983603,-155.6707,-13.25099,2230.36013145382,2216.871,237.5921,83.69577,83.8827,28876.08,2619.73
20.00027,S,14.18023,2.020624,0.0004744602,0.732129,0.000102167,0,17.56907,58.25489,0.008118539,49.5488,61.1221,3.709394,-138.707572565971,-138.2258,-11.55071,2083.54834331214,2070.526,225.25,83.59123,83.79128,31017.68,2851.02
21.00029,S,15.18025,1.909938,0.0005466355,0.7676213,0.000119546,0,17.56907,49.38329,0.007681107,49.5488,61.17635,3.726781,-122.462580530425,-122.0578,-9.948723,1953.37396660881,1940.733,214.5327,83.47871,83.69202,33021.32,3070.778
22.00031,S,16.18027,1.811233,0.0006699022,0.8027177,0.0001437921,0,17.56907,41.9827,0.007511529,49.5488,61.19082,3.731417,-108.911795551403,-108.5715,-8.602825,1838.0209375754,1825.682,205.2825,83.35797,83.58452,34902.82,3280.573
23.00034,S,17.1803,1.722646,0.0008604451,0.8373203,0.0001864654,0,17.56907,35.75121,0.007952613,49.5488,61.18586,3.729828,-97.5022266514986,-97.21639,-7.46041,1735.11204838119,1723.006,197.2723,83.22869,83.46847,36675.69,3481.757
24.00036,S,18.18032,1.642631,0.001123846,0.8717415,0.0002402297,0,17.56907,30.47409,0.008388916,49.5488,61.1956,3.73295,-87.8407670008748,-87.6012,-6.483063,1642.70048785743,1630.766,190.3191,83.0904,83.34339,38351.31,3675.47
25.00038,S,19.18034,1.569939,0.001344267,0.9063167,0.0002925715,0,17.56907,25.98158,0.008378667,49.5488,61.27771,3.759268,-79.6166333379521,-79.41659,-5.640349,1559.22369517148,1547.406,184.2719,82.94265,83.20895,39939.3,3862.697
26.0004,S,20.18037,1.503659,0.001698723,0.8899783,0.0003701188,0,17.56907,21.55057,0.008953707,49.5488,61.32646,3.774891,-71.507099401192,-71.34711,-4.780707,1483.52701656388,1471.775,179.0269,82.78509,83.06461,41447.8,4044.272
27.00043,S,21.18039,1.444373,0.002152344,0.8566139,0.0004706051,0,17.56907,17.63931,0.009681877,49.5488,61.31108,3.769962,-64.3507598642965,-64.22608,-4.003866,1415.94455495832,1404.2,174.6577,82.61744,82.90983,42884.86,4221.05
28.00045,S,22.18041,1.390376,0.002671078,0.8326884,0.0005845631,0,17.56907,14.69468,0.01030699,49.5488,61.29852,3.765938,-58.9640721475565,-58.865,-3.416662,1354.58756005044,1342.802,170.9632,82.43914,82.74424,44257.61,4393.812
29.00047,S,23.18044,1.340312,0.003288237,0.8160068,0.0007196201,0,17.56907,12.41615,0.01094035,49.5488,61.2882,3.762628,-54.7966546472218,-54.71662,-2.96055,1297.98765325291,1286.12,167.7858,82.24946,82.56723,45571.46,4563.148
30.0005,S,24.18046,1.28674,0.004041234,0.8040941,0.0008853777,0,17.56907,10.60017,0.0116621,49.5488,61.27873,3.759593,-51.4758542350604,-51.41039,-2.595259,1245.12024774129,1233.134,165.0163,82.04753,82.37804,46830.54,4729.52
31.00052,S,25.18048,1.235183,0.004978272,0.7986396,0.00108785,0,17.56907,9.156841,0.01246266,49.5488,61.27132,3.757219,-48.8368176093783,-48.7824,-2.304822,1195.23723127321,1183.099,162.5732,81.83245,82.17582,48038.19,4893.294
32.00054,S,26.1805,1.186099,0.006093912,0.7992389,0.001330222,0,17.56907,7.994152,0.01329438,49.5488,61.26614,3.755557,-46.7110629482725,-46.66512,-2.071226,1147.7423880015,1135.421,160.3902,81.60309,81.95956,49197.03,5054.756
33.00056,S,27.18053,1.139083,0.007451906,0.7984623,0.001624386,0,17.56907,6.984092,0.0141969,49.5488,61.26338,3.754673,-44.8647431152637,-44.82595,-1.86531,1102.24721366226,1089.712,158.4259,81.35825,81.7281,50309.21,5214.147
34.00059,S,28.18055,1.093828,0.009128856,0.8020725,0.001985141,0,17.56907,6.147234,0.01520213,49.5488,61.26384,3.754821,-43.3350564526884,-43.3019,-1.694867,1058.45392062212,1045.674,156.6485,81.09654,81.48009,51376.56,5371.67
35.00061,S,29.18057,1.050074,0.01118108,0.8060631,0.002423936,0,17.56907,5.421255,0.01628904,49.5488,61.27072,3.757026,-42.0081782360969,-41.97974,-1.545467,1016.11124041421,1003.055,155.031,80.81638,81.21395,52400.6,5527.496
36.00063,S,30.1806,1.008042,0.01365401,0.7391906,0.003009183,0,17.56907,4.371153,0.01778011,49.5488,61.13531,3.713626,-40.0933850408546,-40.0725,-1.293935,975.441107183859,962.0707,153.6163,80.51621,80.92802,53382.8,5681.799
37.00066,S,31.18062,0.9678358,0.01666659,0.6749872,0.003729738,0,17.56907,3.517285,0.01941944,49.5488,61.00517,3.671913,-38.537452698344,-38.52219,-1.084499,936.535462321069,922.8074,152.431,80.19439,80.62048,54324.86,5834.805
38.00064,S,32.18061,0.9291265,0.02037594,0.6130514,0.00462722,0,17.56907,2.819555,0.02126415,49.5488,60.8794,3.631603,-37.2669087377292,-37.25582,-0.9090451,899.075889814203,884.9456,151.4376,79.84887,80.28924,55228.44,5986.724
39.00048,S,33.18044,0.8915948,0.02492681,0.5818706,0.005715909,0,17.56907,2.36426,0.02320556,49.5488,60.7837,3.600929,-36.4372503981311,-36.4285,-0.7985013,862.751899072075,848.1738,150.5955,79.47721,79.93191,56094.75,6137.731
40.00031,S,34.18027,0.8547371,0.03051134,0.5807287,0.006998565,0,17.56907,2.08415,0.02509533,49.5488,60.78012,3.599784,-35.9255210818552,-35.91795,-0.737518,827.077226752808,812.0076,149.8286,79.07639,79.54559,56924.61,6287.938
41.00014,S,35.1801,0.8184263,0.03747068,0.5794171,0.008596092,0,17.56907,1.835456,0.02720639,49.5488,60.77568,3.59836,-35.4710618509961,-35.46449,-0.6827722,791.931346636578,776.3229,149.1195,78.64312,79.12682,57718.55,6437.407
41.99997,S,36.17994,0.7826124,0.0461957,0.5779166,0.01060391,0,17.56907,1.614326,0.02959356,49.5488,60.7701,3.596573,-35.0667656013014,-35.06104,-0.6336591,757.266288112042,741.0665,148.4619,78.17361,78.67159,58477.05,6586.194
42.99981,S,37.17977,0.7472528,0.05720915,0.5762053,0.01313882,0,17.56907,1.417467,0.03229115,49.5488,60.76307,3.594319,-34.7065890903755,-34.70158,-0.589637,723.040507175025,706.1904,147.851,77.66341,78.17512,59200.48,6734.346
43.99964,S,38.1796,0.7123126,0.0711792,0.5742584,0.01635594,0,17.56907,1.242046,0.03534128,49.5488,60.75417,3.591464,-34.3853029744228,-34.3809,-0.5502507,689.220519634106,671.6537,147.2814,77.10739,77.63184,59889.2,6881.909
44.99947,S,39.17943,0.6777641,0.08902509,0.5720478,0.02047361,0,17.56907,1.085628,0.03881527,49.5488,60.74279,3.58782,-34.0983718751882,-34.09448,-0.515168,655.77929787725,637.4203,146.7489,76.49958,77.0351,60543.55,7028.92
45.9993,S,40.17926,0.6435848,0.1120783,0.5695409,0.0257959,0,17.56907,0.9461037,0.04280608,49.5488,60.72814,3.583123,-33.8418633372395,-33.8384,-0.4841483,622.695437341601,603.4578,146.2498,75.833,76.37686,61163.8,7175.417
46.99913,S,41.1791,0.6097587,0.1420059,0.5667009,0.03272577,0,17.56907,0.8216486,0.04739609,49.5488,60.70914,3.577032,-33.6123265318668,-33.60922,-0.4569747,589.953258382882,569.7374,145.7798,75.0994,75.64754,61750.21,7321.43
47.99897,S,42.17893,0.5762709,0.1813792,0.5682426,0.04184919,0,17.56907,0.7166634,0.05271886,49.5488,60.6842,3.569041,-33.4173398914981,-33.41449,-0.4364212,557.538444232022,536.2288,145.3339,74.28928,74.83545,62303.01,7466.985
48.9988,S,43.17876,0.5431132,0.2336714,0.5703291,0.05399912,0,17.56907,0.6232178,0.05893501,49.5488,60.6512,3.558461,-33.2424689090234,-33.23982,-0.4196493,525.443339241066,502.9047,144.9068,73.3913,73.92621,62822.39,7612.104
49.99863,S,44.17859,0.5102912,0.3036952,0.5721536,0.07033625,0,17.56907,0.5392359,0.06620482,49.5488,60.60718,3.544353,-33.0837335735656,-33.08124,-0.4061862,493.673134929625,469.7459,144.4937,72.39211,72.90212,63308.54,7756.803
50.99846,S,45.17842,0.477823,0.3988534,0.5737149,0.09266141,0,17.56907,0.4639206,0.07482718,49.5488,60.5477,3.52529,-32.9392843903153,-32.9369,-0.3963263,462.245683484336,436.7387,144.0928,71.27619,71.74078,63761.6,7901.096
51.99829,S,46.17826,0.4457353,0.5299767,0.5750504,0.1236576,0,17.56907,0.396589,0.08515964,49.5488,60.46638,3.499224,-32.8073234397881,-32.805,-0.3904437,431.186935062098,403.8692,143.7009,70.02557,70.41391,64181.73,8044.993
52.99813,S,47.17809,0.4140682,0.7123379,0.5762849,0.167225,0,17.56907,0.3366745,0.09754711,49.5488,60.35445,3.463351,-32.6861530278062,-32.68384,-0.3888478,400.535787533812,371.1263,143.3109,68.61935,68.88586,64569.06,8188.499
53.99796,S,48.17792,0.3828811,0.9706162,0.5777612,0.2298369,0,17.56907,0.2837484,0.1126946,49.5488,60.19826,3.413289,-32.5738237983915,-32.57146,-0.392416,370.350132208379,338.5002,142.9209,67.0348,67.10965,64923.7,8331.615
54.99779,S,49.17775,0.3522566,1.340924,0.5803075,0.3214596,0,17.56907,0.2375404,0.1313584,49.5488,59.97893,3.342992,-32.4682586608358,-32.46577,-0.4019935,340.709839027649,305.9828,142.524,65.24702,65.02432,65245.77,8474.338
