Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,64.70574,0,0,102.58,120.0458,4.366449,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3341091,-0.5001071,0.8754722,-0.3411384,911.0508,60.67678,11.45811,-4.568454,100.6096,119.7511,4.785378,445.07899314174,442.5854,47.04757,389.963751977483,388.5448,25.90152,84.61066,86.18614,185.4479,10.83066
1.999998,B,1.999998,0.6558111,0.06107913,0.8817381,0.03929366,653.5686,56.89759,43.53371,1.956139,98.63911,120.0114,5.34306,312.921224048776,311.369,31.12938,758.40688346339,755.0644,63.78991,84.67986,85.17096,771.6816,57.1808
2.999998,B,2.999998,0.9040176,0.002263356,0.8941619,0.002434085,584.7028,53.9173,81.15171,0.2220552,96.66867,120.2698,5.90028,268.482700610863,266.87,29.38305,1040.75951648469,1035.832,93.82052,84.42465,84.82455,1672.474,136.1962
3.999997,B,3.999997,1.071543,0.001826869,2.667011,0.001996516,594.993,51.01883,325.6607,0.2443372,94.69823,128.1489,8.362667,137.908410789544,136.7108,18.13524,1227.20319370544,1220.976,116.1368,84.22739,84.56648,2815.607,242.4018
5.00002,B,5.00002,1.206237,0.001542613,2.199389,0.001321551,592.0547,48.11198,323.4816,0.1947889,92.72774,124.5738,7.961514,147.670711039461,146.3563,19.6589,1375.47477835392,1368.03,135.5803,84.03761,84.34011,4110.268,368.1555
6.000038,S,0.18,1.247578,0.008434057,1.039885,0.005614507,0,24.39016,93.93172,0.5060349,53.15,63.59499,3.347752,-155.93937414711,-155.3833,-13.15745,1412.7799985107,1404.825,142.3782,83.92534,84.21287,5531.265,511.2576
7.000038,S,1.179999,1.133377,0.02052713,0.9263029,0.006130216,0,24.39016,65.24051,0.4309612,53.15,63.47108,3.30804,-118.094498878907,-117.7155,-9.453662,1277.90300814677,1270.294,131.9103,83.76494,84.07152,6865.06,648.1351
8.000036,S,2.179998,1.043189,-0.00619639,0.8646372,-0.001470208,0,24.39016,48.88407,-0.08298457,53.15,63.33761,3.26526,-96.5411273176294,-96.30665,-6.724465,1171.46263049978,1164.067,124.0907,83.55226,83.91519,8079.984,775.9739
9.000036,S,3.179997,0.9703718,-0.001840862,0.7333952,-0.0004041056,0,24.39016,34.07207,-0.01874735,53.15,62.99155,3.154343,-77.008432211644,-76.854,-4.874558,1085.62585401517,1078.334,118.2806,83.3537,83.74035,9199.153,897.0044
10.00004,S,4.180001,0.9109592,0.003556327,0.6301595,0.001098647,0,24.39016,24.80134,0.04318467,53.15,62.70617,3.062876,-64.7838278257452,-64.67622,-3.732414,1015.55408511295,1008.275,114.0389,83.13945,83.5471,10241.08,1013.062
11.00006,S,5.180024,0.8583694,0.001310998,0.6222008,0.000372854,0,24.39016,20.90104,0.01250934,53.15,62.65513,3.046515,-59.6433777103874,-59.55663,-3.215638,953.680816606326,946.3613,110.5946,82.89809,83.33447,11217.67,1125.341
12.00008,S,6.180047,0.8722153,0.00165977,0.5451713,0.0004919249,331.7486,24.17024,18.21182,0.01656442,53.00774,62.65491,3.09204,385.477564594753,381.7309,53.61411,970.38246636474,962.3813,117.0208,82.63889,83.06715,12141.37,1235.199
13.00011,S,7.180069,1.268658,0.0009711157,0.9342213,0.000280832,361.7337,22.49147,62.92359,0.01902222,52.21762,63.6269,3.656819,395.584398234364,391.4857,56.79756,1403.96875614807,1391.701,177.8584,82.42117,82.71712,13318.98,1382.267
14.00013,S,8.180092,1.623567,0.0006447905,0.8570191,0.000183764,358.2459,20.90656,88.54807,0.01906843,51.4275,63.64841,3.916961,383.203921564746,379.0166,56.4948,1785.41990930485,1769.1,233.5165,82.24786,82.48058,14901.51,1587.877
15.00015,S,9.180115,1.989874,0.0004621302,0.7052485,0.0001248219,354.0405,19.35252,100.8067,0.01790589,50.63737,63.20245,4.027269,389.173910172708,384.7759,58.34243,2172.02000190764,2151.432,291.0125,82.10538,82.29667,16863.18,1849.985
16.00018,S,10.18014,2.332524,0.0004154584,0.5969878,0.0001037713,90.17155,17.96453,106.0849,0.01843137,49.84725,62.50379,4.056584,-60.5605221100344,-60.46132,-3.464913,2519.10758264088,2494.495,343.9451,81.98461,82.14947,19205.57,2169.882
17.0002,S,11.18016,2.17739,0.0004939867,0.7817221,0.0001333385,0,17.91444,108.928,0.01854362,49.61823,62.83581,4.236405,-227.534909074655,-225.9141,-27.11004,2328.66343607369,2305.228,322.206,81.86497,82.04321,21621.87,2505.438
18.00022,S,12.18018,1.998984,0.00061804,0.8349318,0.00015711,0,17.91444,88.91714,0.01670144,49.61823,63.18586,4.348602,-191.597203287952,-190.2774,-22.44993,2120.18459220586,2098.147,297.5615,81.73244,81.92808,23819.55,2814.934
19.00024,S,13.18021,1.846002,0.0007162113,0.8907681,0.0002000246,0,17.91444,73.86384,0.01655829,49.61823,63.43677,4.429021,-164.56278327461,-163.4684,-18.94708,1942.87598879902,1921.964,276.9562,81.58671,81.80009,25826.5,3101.902
20.00027,S,14.18023,1.712586,0.0007156187,0.9467019,0.0001932195,0,17.91444,62.06096,0.01264624,49.61823,63.5927,4.479,-143.366141519327,-142.4491,-16.18964,1789.5251426988,1769.526,259.457,81.42679,81.65844,27669.73,3369.879
21.00029,S,15.18025,1.59463,0.0009211313,1.00408,0.0002595987,0,17.91444,52.69924,0.01360426,49.61823,63.65617,4.499342,-126.553320502026,-125.7757,-14.00772,1655.0691006,1635.811,244.4111,81.25192,81.50214,29370.36,3621.631
22.00031,S,16.18027,1.488138,0.001016286,1.065269,0.0002822069,0,17.91444,46.12356,0.01220063,49.61823,63.64273,4.495035,-114.742578273379,-114.059,-12.50615,1534.77465941193,1516.127,231.1858,81.06039,81.33007,30944.83,3859.316
23.00034,S,17.1803,1.390931,0.001115084,1.13319,0.0003170977,0,17.91444,39.88931,0.01114595,49.61823,63.62206,4.488409,-103.546151538058,-102.9548,-11.05055,1426.00820723533,1407.861,219.4398,80.85065,81.14073,32405.37,4084.508
24.00036,S,18.18032,1.303096,0.00136474,1.114642,0.0003880139,0,17.91444,32.09624,0.01115788,49.61823,63.66078,4.500818,-89.5567505403127,-89.09299,-9.102236,1328.5442636228,1310.781,209.1899,80.62151,80.93253,33763.05,4298.66
25.00038,S,19.18034,1.22925,0.001775604,1.018777,0.0005116809,0,17.91444,24.35869,0.01221937,49.61823,63.58651,4.477013,-75.6746146170599,-75.3421,-7.086273,1246.70907515829,1229.148,201.1805,80.37365,80.70455,35031.48,4503.68
