Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,68.03495,0,0,102.58,110.1443,1.891068,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.315648,-0.1406593,1.094977,-0.1412929,911.0269,64.006,12.79557,-1.689355,100.7423,110.1146,2.343077,419.484536312814,417.7706,37.88142,368.418940811126,367.2416,22.09497,85.27757,86.55697,175.3351,9.729029
1.999998,B,1.999998,0.6170666,-0.01479382,1.110547,-0.02099797,653.467,60.2268,48.61938,-0.9268289,98.90459,110.1399,2.808817,291.099735766472,289.6133,29.38014,713.667095735816,710.8782,55.69601,84.91824,85.52013,728.3271,49.99443
2.999998,B,2.999998,0.8458655,0.003942571,1.136396,0.004775095,584.4773,57.24651,90.62426,0.3827268,97.06688,110.1433,3.269098,245.539413543977,244.1996,25.6156,974.065961692021,969.9535,82.07812,84.73714,85.16312,1574.052,119.1446
3.999997,B,3.999997,1.035332,0.003063529,2.513368,0.00513576,594.646,54.34804,288.2271,0.5904422,95.22917,110.6459,3.854173,149.418982841748,148.3454,17.87945,1186.50291464247,1181.155,105.1907,84.56106,84.9108,2659.643,213.5078
5.00002,B,5.00002,1.120396,0.002809147,3.474081,0.004683919,591.5926,51.44118,444.6231,0.6000243,93.39143,110.9633,4.392968,60.0646359241817,59.19058,10.20959,1277.73474921747,1271.567,118.0582,84.3709,84.6956,3893.961,325.7795
6.000038,S,0.18,1.081261,-0.01216048,2.855629,0.01849339,0,25.98103,196.6277,1.267673,53.15,68.70864,4.986743,-275.533254836349,-274.4579,-24.31945,1224.49932366987,1218.438,114.3508,84.2846,84.63847,5174.5,446.5424
7.000038,S,1.179999,0.9411616,-0.0203587,1.098641,-0.01072862,0,25.98103,54.67081,-0.5328801,53.15,67.64413,4.645553,-99.7973691836904,-99.62537,-5.856667,1063.19511661162,1057.53,102.2741,84.06227,84.47609,6298.588,553.7832
8.000036,S,2.179998,0.8710091,0.007996688,0.8719591,0.00328368,0,25.98103,35.56198,0.1337142,53.15,67.30548,4.537013,-76.1135027152951,-75.97805,-4.538856,980.718366653686,975.1143,97.35796,83.87992,84.29834,7312.989,653.4755
9.000036,S,3.179997,0.8097095,-0.0008725103,0.8654114,-0.002061924,0,25.98103,29.24595,-0.06957677,53.15,67.30582,4.53712,-68.3048421012812,-68.20815,-3.633143,908.798332756317,903.2122,93.2738,83.64315,84.10403,8251.146,748.7244
