Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,67.62616,0,0,102.58,131.9368,7.339203,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3182481,-0.6816784,0.8321841,-0.4033433,911.0298,63.5972,9.885081,-4.902347,100.727,131.2996,7.64316,424.0018766591,421.1963,48.69567,371.461752390693,369.9589,26.04532,84.16265,85.97299,176.5893,10.61967
1.999998,B,1.999998,0.6250294,0.107854,0.8338565,0.06756727,653.4824,59.81801,37.44534,3.059473,98.87393,131.8277,8.238434,299.312262341776,297.7578,30.46511,722.906026895909,719.4025,63.75063,84.46466,84.93591,734.9041,57.00877
2.999998,B,2.999998,0.8633725,-0.009701688,0.8416204,-0.006390919,584.523,56.83772,69.87222,-0.5333595,97.0209,131.9265,8.726388,259.355530337733,257.5631,30.43913,994.249147775611,989.0338,94.36805,84.11917,84.54965,1594.028,136.3052
3.999997,B,3.999997,1.082939,0.002322092,1.229145,0.001824999,594.7576,53.93925,153.9211,0.2293902,95.16786,134.9046,9.934196,230.990846271333,229.2713,28.13258,1241.60408314495,1234.669,123.7114,83.9437,84.27818,2710.089,245.5559
5.00002,B,5.00002,1.278726,0.001116772,1.3681,0.0008096476,591.9376,51.03239,226.6231,0.134482,93.31479,134.5872,10.31811,198.377845225797,196.7197,25.59549,1458.8178647325,1450.211,150.8978,83.77419,84.05962,4056.356,383.0815
