Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,71.43919,0,0,102.58,122.7435,5.040871,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.2991111,-0.5819074,1.048965,-0.600176,911.005,67.41023,11.01075,-6.44587,100.8607,122.4887,5.406991,397.688735955508,395.0215,45.98201,349.128219604341,347.7089,24.11392,84.24998,86.03284,166.049,9.849684
1.999998,B,1.999998,0.5851946,0.05227407,1.057559,0.05784436,653.3765,63.63104,41.6983,2.299533,99.14144,122.7186,5.894296,277.264683405821,275.7043,29.3742,676.901766186131,673.576,59.68271,84.37031,84.93649,689.7621,53.18216
2.999998,B,2.999998,0.8041571,0.001609369,1.08082,0.001414259,584.2888,60.65076,78.1384,0.1027686,97.42216,122.7429,6.330177,236.528602383665,234.8695,27.96601,926.313821187316,921.3671,88.26815,84.07767,84.52769,1492.078,127.4078
3.999997,B,3.999997,1.004467,0.002629966,1.773007,0.003214483,594.3569,57.75228,192.3307,0.349863,95.70289,120.9664,6.315882,192.020908764952,190.4701,24.35509,1152.09244361751,1145.517,115.5788,83.87823,84.23855,2530.192,229.6073
5.00002,B,5.00002,1.145467,0.002103146,2.159098,0.002699851,591.2969,54.84543,290.4055,0.3639427,93.98357,121.1726,6.797264,144.598600958827,143.1894,20.1383,1307.75419926017,1299.813,136.565,83.68472,84.00221,3757.207,355.9949
6.000038,S,0.18,1.177603,-0.0331925,1.922589,-0.006191381,0,23.86007,157.4557,-0.5052087,53.15,65.6922,4.019936,-244.346269388983,-243.3676,-21.84744,1334.46174426338,1326.131,141.5432,83.56131,83.90766,5108.965,500.1355
7.000038,S,1.179999,0.9949333,-0.02317341,1.432179,-0.01918318,0,23.86007,79.57619,-1.063239,53.15,65.29237,3.891786,-139.37333069038,-138.9943,-10.2718,1123.52351060644,1116,122.469,83.34246,83.73746,6319.307,631.1976
8.000036,S,2.179998,0.9122629,0.01796094,0.6792861,0.007629811,0,23.86007,30.29981,0.3398487,53.15,64.57498,3.661853,-72.8957308512071,-72.72096,-5.044755,1026.99970768744,1019.654,115.2787,83.16105,83.54971,7381.117,749.4492
9.000036,S,3.179997,0.8538837,-0.006684088,0.6699589,-0.003085223,0,23.86007,25.04829,-0.1151917,53.15,64.47124,3.628604,-65.8474612109325,-65.73995,-3.761266,958.066074004805,950.729,111.0076,82.89788,83.34027,8365.398,862.5315
10.00004,S,4.180001,0.8003906,0.002115503,0.6671174,0.0006611568,0,23.86007,20.99996,0.02078435,53.15,64.4732,3.62923,-60.3800885657967,-60.28286,-3.425184,895.219633542939,887.8456,107.3314,82.64303,83.10698,9283.92,971.6575
11.00006,S,5.180024,0.7508721,0.002216971,0.6644874,0.0009070975,0,23.86007,17.83784,0.02431809,53.15,64.473,3.629166,-56.1174224776272,-56.03579,-3.02578,837.342797306751,829.8919,104.1208,82.35307,82.84886,10142.13,1077.345
12.00008,S,6.180047,0.7676345,0.0006775655,0.5978054,0.0003040841,328.9465,23.64015,16.2341,0.008334058,53.00341,64.47349,3.676308,393.763096828334,389.2972,59.136,858.133576698004,849.8511,111.6034,82.03376,82.51866,10951.1,1180.896
13.00011,S,7.180069,1.142309,0.0008161186,1.891948,0.0005094821,358.7725,21.96138,108.9808,0.02950248,52.18919,65.7908,4.359491,334.157480794111,329.8855,53.26142,1269.74712093528,1256.653,174.5468,81.7653,82.09232,12014.49,1324.876
14.00013,S,8.180092,1.454157,0.0006959248,1.369575,0.0003416596,355.0863,20.37647,120.6057,0.03021385,51.37497,64.62772,4.247677,338.464793120562,333.9294,55.22293,1607.42766432325,1589.958,229.0064,81.5458,81.80389,13439.1,1526.485
15.00015,S,9.180115,1.769036,0.0005289591,1.147819,0.0001956283,350.656,18.82243,139.0811,0.02378498,50.56076,63.39927,4.11491,329.898990152951,325.26,55.12963,1942.46402351579,1920.44,284.3441,81.36437,81.57786,15196.66,1783.165
16.00018,S,10.18014,2.041585,0.0005017993,1.015109,0.0001658649,86.53271,17.43444,150.0944,0.02449195,49.74654,62.40163,4.056118,-149.199849906532,-148.2191,-17.07904,2219.64460080754,2193.56,331.9535,81.20796,81.39467,17274.72,2094.272
17.0002,S,11.18016,1.818597,0.0004345126,1.253256,0.0001683209,0,17.38435,134.4875,0.018011,49.51053,63.21334,4.391926,-280.740419526377,-278.1772,-37.85008,1960.62027171737,1936.736,297.7642,81.04805,81.25948,19352.71,2411.378
18.00022,S,12.18018,1.59505,0.0005747803,1.388375,0.0002192509,0,17.38435,105.9252,0.01668308,49.51053,64.06818,4.665912,-227.87813831108,-225.8501,-30.33444,1708.19720537361,1686.522,263.9236,80.86343,81.10593,21158.74,2691.599
19.00024,S,13.18021,1.40923,0.0005814123,1.545641,0.0003018666,0,17.38435,85.8345,0.01672113,49.51053,64.80834,4.903144,-190.693366731944,-189.0375,-25.07556,1500.28285176885,1480.353,236.3936,80.65115,80.92719,22738.08,2941.32
20.00027,S,14.18023,1.24962,0.001245287,1.762087,0.0007151199,0,17.38435,72.298,0.02926795,49.51053,65.44151,5.106081,-165.635665258205,-164.2178,-21.62609,1323.31686043466,1304.81,213.2061,80.40769,80.71987,24127.72,3165.831
21.00029,S,15.18025,1.105456,0.001321387,2.184687,0.0009081325,0,17.38435,66.36097,0.02751196,49.51053,65.84566,5.235617,-154.636342174174,-153.2902,-20.35959,1165.02428113234,1147.758,192.4978,80.12473,80.47917,25352.25,3368.57
