Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,65.4716,0,0,102.58,103.8605,0.3201237,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3295672,0.6743023,0.9526092,0.5855581,911.0451,61.44265,12.13202,7.630395,100.6418,103.6558,0.7535053,438.568915395056,437.9094,24.04269,384.661272603837,383.6832,20.07844,86.58757,87.00439,183.0641,9.778239
1.999998,B,1.999998,0.6459907,0.03043175,0.9600017,0.02285212,653.5457,57.66345,46.00517,1.104172,98.70352,103.8523,1.287206,306.897849057336,305.9307,24.34536,747.060264555677,745.0443,47.51051,85.82027,86.35126,761.8879,43.56843
2.999998,B,2.999998,0.8884642,0.007404231,0.981284,0.006376313,584.6509,54.68317,86.09293,0.5622941,96.76529,103.8582,1.773234,261.266225253854,260.3191,22.22626,1022.90260049799,1019.957,70.23721,85.65818,86.06066,1649.805,102.5666
3.999997,B,3.999997,1.078176,0.003158817,2.49068,0.003215518,594.9289,51.78469,308.2477,0.3988967,94.82705,106.7516,2.981127,146.082525683336,145.3284,14.82432,1234.98991175554,1231.189,89.48302,85.5068,85.84304,2786.921,183.1176
5.00002,B,5.00002,1.192426,0.002518216,2.528209,0.002489254,591.9963,48.87784,363.7741,0.3587925,92.88876,106.1331,3.31109,118.218961449423,117.4778,13.21701,1359.5717205146,1355.09,102.9662,85.34903,85.65475,4082.83,279.4647
6.000038,S,0.18,1.207036,-0.04082851,2.008668,-0.01545722,0,26.48375,170.2083,-1.305229,53.15,68.399,4.8875,-238.891989057532,-238.4644,-14.28679,1366.2286693908,1361.613,104.8738,85.24815,85.59568,5478.817,387.2541
7.000038,S,1.179999,1.041996,0.02492356,1.456642,0.02767895,0,26.48375,87.20608,1.653196,53.15,67.80421,4.696863,-138.017498535078,-137.6282,-10.35898,1175.09395740832,1170.837,92.59762,85.14647,85.47807,6734.184,485.3491
8.000036,S,2.179998,0.948099,-0.02106997,0.9780434,-0.01624651,0,26.48375,46.15689,-0.7654569,53.15,67.17001,4.493594,-88.2127927589945,-88.13847,-3.620347,1065.52679068337,1061.394,86.42063,84.93095,85.34514,7845.681,574.5607
9.000036,S,3.179997,0.8826723,0.009260209,0.8231775,0.007463832,0,26.48375,32.13655,0.2909667,53.15,66.84704,4.390076,-71.140642990695,-71.04852,-3.619239,988.62869672528,984.5217,82.68568,84.7849,85.19925,8866.938,659.0169
10.00004,S,4.180001,0.8250349,0.002155068,0.8163435,0.00228109,0,26.48375,26.62086,0.0742822,53.15,66.84936,4.39082,-64.4499607336932,-64.38525,-2.88739,921.060325645892,916.9448,79.63831,84.58379,85.03622,9816.774,740.146
11.00006,S,5.180024,0.7720857,0.003621562,0.8100668,0.002337795,0,26.48375,22.47928,0.06478412,53.15,66.84933,4.39081,-59.419583292899,-59.36584,-2.526642,859.303784109999,855.1554,76.99907,84.37141,84.8549,10702.11,818.439
12.00008,S,6.180047,0.7802298,0.00006331028,0.7422064,0.00006509096,330.3336,26.26383,20.33601,0.001797798,53.02263,66.85035,4.431961,347.769561204318,345.5756,39.00221,869.918845619445,865.3638,81.57108,84.13417,84.61509,11534.17,894.8437
13.00011,S,7.180069,1.128415,0.0007788637,1.831734,0.0007035327,360.1043,24.58506,100.5519,0.03881058,52.31519,68.20573,5.093125,307.70734711099,305.524,36.59094,1251.52448081115,1244.517,124.9184,83.93478,84.26814,12593.6,998.2014
14.00013,S,8.180092,1.39955,0.0003054472,1.553198,0.0001742642,356.2852,23.00015,123.8694,0.0139507,51.60774,68.32468,5.357994,293.168274661448,290.9341,36.1246,1543.73877794228,1534.592,160.4649,83.76009,84.03055,13984.49,1140.799
15.00015,S,9.180115,1.673724,0.00002745946,1.310804,0.00002237173,351.6302,21.44611,139.4063,0.002386719,50.90029,67.83042,5.426324,286.446645747179,284.1457,36.23399,1834.44482697748,1823.059,196.7329,83.61309,83.84084,15665.3,1319.388
16.00018,S,10.18014,1.910648,-0.0001184055,1.168439,-0.0001583809,87.21618,20.05812,149.0613,-0.02017961,50.19284,67.32325,5.490515,-131.242171688822,-130.8305,-10.38691,2074.69047636137,2061.291,228.0795,83.48451,83.68597,17625.97,1533.707
17.0002,S,11.18016,1.715629,-0.002231952,1.414723,-0.001329804,0,20.00803,133.7476,-0.125384,49.98779,67.74249,5.690611,-247.072820682665,-245.9194,-23.84591,1848.17891907236,1835.757,206.5845,83.3511,83.57931,19585.83,1752.504
18.00022,S,12.18018,1.516951,0.003649433,1.565774,0.004338162,0,20.00803,107.351,0.2966807,49.98779,68.13382,5.816037,-204.614081577145,-203.6213,-20.13178,1623.77703269273,1612.366,184.8309,83.20705,83.46054,21305.27,1947.853
19.00024,S,13.18021,1.348544,0.0070636,1.749612,0.008346305,0,20.00803,88.64622,0.4218492,49.98779,68.38293,5.895879,-174.529252003381,-173.675,-17.24686,1435.30069076972,1424.7,166.7856,83.03918,83.32294,22820.37,2123.417
20.00027,S,14.18023,1.200863,-0.0141938,2.024704,-0.01046523,0,20.00803,76.60017,-0.3949644,49.98779,68.39252,5.898955,-155.185801241146,-154.5506,-14.02658,1271.55713738672,1261.628,151.2599,82.82093,83.16329,24161.11,2282.287
21.00029,S,15.18025,1.07763,0.01176569,1.643524,0.01026239,0,20.00803,47.44535,0.295692,49.98779,67.99963,5.773028,-108.281812880796,-107.8378,-9.795912,1136.13169901025,1126.7,138.7552,82.62389,82.97927,25350.12,2426.779
22.00031,S,16.18027,0.9951162,0.007212922,1.217681,0.004226043,0,20.00803,28.53202,0.098875,49.98779,67.49379,5.610899,-77.8956740079775,-77.66959,-5.930499,1044.94628386683,1035.697,131.3894,82.37825,82.77003,26428.39,2561.559
23.00034,S,17.1803,0.9335972,0.005919149,0.9041223,0.004246494,0,20.00803,17.8054,0.0835251,49.98779,67.07642,5.477128,-60.6678305582138,-60.54552,-3.850412,976.617400145512,967.376,126.6994,82.11755,82.53831,27428.16,2690.431
24.00036,S,18.18032,0.882873,0.0006627771,0.8231998,0.00008035098,0,20.00803,13.8782,0.001353031,49.98779,66.85034,5.404666,-54.3706041067493,-54.28789,-2.997931,920.152887824137,910.8144,123.4261,81.83082,82.28275,28366.5,2815.438
25.00038,S,19.18034,0.8354923,0.003339294,0.8175832,0.002273773,0,20.00803,11.84206,0.03289526,49.98779,66.84936,5.40435,-51.0949776732167,-51.02354,-2.700946,867.703255761118,858.223,120.5799,81.52602,82.00232,29250.48,2937.412
