Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.77263,0,0,102.58,110.8278,2.061947,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3223934,-0.07904106,1.021756,-0.04436448,911.0356,62.74366,12.45407,-0.5532891,100.6941,110.8109,2.529197,428.725937727415,427.0987,37.31796,376.29046772968,375.1036,22.52811,85.36907,86.56303,179.0459,10.00038
1.999998,B,1.999998,0.6310029,-0.04471505,1.040656,-0.04184257,653.5042,58.96446,47.6134,-1.930196,98.80825,110.8119,3.000904,298.599212023763,297.0284,30.58789,729.756991186612,726.9389,56.73607,84.91836,85.53723,744.2171,51.04445
2.999998,B,2.999998,0.8661019,0.00137466,1.070439,0.001398279,584.5589,55.98418,89.37988,0.1173476,96.92237,110.8273,3.476222,252.560917537235,251.1889,26.2898,997.265609521972,993.0951,83.77383,84.7596,85.17815,1609.62,121.6123
3.999997,B,3.999997,1.054302,0.002742551,2.550078,0.003010098,594.7773,53.0857,302.5678,0.3580091,95.0365,112.7709,4.433605,145.126429062947,144.0558,17.59565,1207.93870069488,1202.538,106.7626,84.5827,84.92652,2718.629,217.7041
5.00002,B,5.00002,1.182488,0.002072056,2.332165,0.002308098,591.8018,50.17885,331.1927,0.3284321,93.15058,113.6313,5.120179,135.142345530546,134.0406,17.22124,1348.82728781708,1342.392,124.2658,84.403,84.71117,3991.971,333.1906
6.000038,S,0.18,1.208465,-0.05293835,1.479254,-0.03058989,0,26.38201,126.1633,-2.601893,53.15,68.99746,5.079314,-185.996115139457,-185.6539,-11.2776,1368.83622271567,1362.079,128.5083,84.25166,84.61026,5379.66,463.6886
7.000038,S,1.179999,1.079533,-0.03444433,1.196196,-0.01990789,0,26.38201,77.11186,-1.280695,53.15,68.57767,4.944765,-126.151283884229,-125.9284,-7.495632,1217.9003820991,1211.514,117.2249,84.09541,84.47332,6660.828,586.1729
8.000036,S,2.179998,0.9858763,0.01692153,1.014365,0.01483767,0,26.38201,51.83558,0.7569253,53.15,68.10674,4.793828,-95.2580116237874,-94.98732,-7.176198,1108.06706546824,1101.879,109.6064,83.95885,84.31935,7814.374,699.3762
9.000036,S,3.179997,0.9139926,0.01259904,0.8503664,0.007153481,0,26.38201,35.58789,0.2989333,53.15,67.72961,4.672951,-75.4630758281156,-75.31097,-4.788905,1023.67432324165,1017.565,104.3368,83.74979,84.14559,8872.034,806.2011
10.00004,S,4.180001,0.8534834,0.003231076,0.8331116,0.00280256,0,26.38201,29.0232,0.09749514,53.15,67.65781,4.64994,-67.4689509667966,-67.3593,-3.845003,952.693105142556,946.5986,100.2533,83.51894,83.9544,9853.123,908.4398
11.00006,S,5.180024,0.798255,0.003694352,0.8258924,0.002433133,0,26.38201,24.43483,0.07188661,53.15,67.658,4.650001,-61.8757535521033,-61.78582,-3.334865,888.22550977972,882.1066,96.74431,83.27451,83.74114,10766.7,1006.903
12.00008,S,6.180047,0.80486,0.0007517073,0.7554792,0.0003252439,330.5458,26.16209,21.9466,0.009521959,53.02198,67.65913,4.691393,347.604834325951,344.4915,46.41904,896.985944739464,890.3052,101.9373,83.0035,83.46825,11624.59,1102.789
13.00011,S,7.180069,1.161471,0.0003903017,1.224393,0.000330785,360.3678,24.48332,70.87048,0.01925059,52.31092,68.87179,5.307971,348.547318791051,345.1822,48.31648,1287.97985616434,1277.758,154.6113,82.77709,83.10064,12709.86,1230.817
14.00013,S,8.180092,1.449769,0.0007899869,1.418683,0.0005839145,356.6356,22.89841,120.597,0.04982313,51.59985,69.43239,5.715556,299.789368480576,296.6214,43.46735,1598.1716569889,1584.816,198.8467,82.58835,82.84847,14146.46,1407.916
15.00015,S,9.180115,1.73176,0.00021699,1.195775,0.00002776078,352.0708,21.34437,134.9219,0.003142092,50.88879,69.38699,5.928909,295.478571277749,292.1985,43.9047,1896.57377197878,1880.027,242.6461,82.42621,82.64576,15880.71,1628.628
16.00018,S,10.18014,1.979357,0.001074834,1.058537,0.0001728921,87.74612,19.95638,143.2283,0.02336724,50.17773,69.15098,6.08117,-121.432674102523,-120.9086,-11.26964,2147.26435708965,2127.827,280.9296,82.28597,82.47894,17902.95,1892.657
17.0002,S,11.18016,1.790567,0.01077918,1.291975,0.002770135,0,19.90629,131.0608,0.2802989,49.97162,69.33958,6.207678,-243.745142120998,-242.0592,-28.61884,1926.55627367965,1908.461,256.0956,82.15173,82.35715,19933.03,2162.968
18.00022,S,12.18018,1.594773,-0.03808554,1.423266,-0.01805124,0,19.90629,105.8699,-1.339552,49.97162,69.44717,6.242162,-203.095275084223,-202.0075,-20.99192,1704.48964608423,1687.822,230.4503,81.9427,82.22507,21726.71,2405.847
19.00024,S,13.18021,1.428229,-0.03898852,1.573281,-0.01772249,0,19.90629,87.4498,-0.9828485,49.97162,69.40959,6.230119,-173.312057000153,-172.3834,-17.91738,1517.34203040149,1501.813,209.1934,81.75676,82.07007,23318.13,2625.432
20.00027,S,14.18023,1.28301,-0.003512333,1.7127,0.01034497,0,19.90629,72.06879,0.4343558,49.97162,69.2038,6.164161,-148.383243207934,-147.3922,-17.12093,1355.70029401679,1341.107,191.0467,81.58209,81.89251,24736.96,2825.393
21.00029,S,15.18025,1.171204,0.04140164,1.382625,0.02792202,0,19.90629,45.74487,0.9222304,49.97162,68.8904,6.06371,-105.817866995619,-105.1162,-12.16575,1231.7243025627,1217.711,177.9342,81.39046,81.68667,26012.31,3009.443
22.00031,S,16.18027,1.086815,0.01950308,1.207,0.01875624,0,19.90629,32.58546,0.505613,49.97162,68.60742,5.973013,-84.5758449762527,-84.13467,-8.627332,1137.87303479487,1124.161,168.7817,81.11563,81.46138,27181.04,3182.568
23.00034,S,17.1803,1.016914,0.002624098,1.085485,-0.001832648,0,19.90629,24.39556,-0.04113229,49.97162,68.27669,5.867008,-71.3988949855967,-71.14977,-5.959231,1060.19942979698,1046.609,161.8762,80.81876,81.20789,28264.95,3347.75
24.00036,S,18.18032,0.9577056,0.007517142,0.9498049,0.003287157,0,19.90629,18.05429,0.06240717,49.97162,67.96285,5.76642,-61.1537315131438,-60.97302,-4.697841,994.498897427856,980.8992,156.5699,80.52123,80.93102,29277.54,3506.841
25.00038,S,19.18034,0.9061757,-0.00474828,0.8413686,-0.002630968,0,19.90629,13.96993,-0.04363357,49.97162,67.69057,5.679152,-54.5816272643259,-54.46236,-3.606297,937.422942007501,923.7016,152.4684,80.18005,80.62713,30228.99,3661.274
26.0004,S,20.18037,0.8585247,0.00258548,0.8337704,0.001116338,0,19.90629,11.9073,0.0159244,49.97162,67.65871,5.668938,-51.243093645188,-51.1387,-3.269252,884.907104544414,870.9893,148.9923,79.82734,80.29288,31125.8,3811.969
27.00043,S,21.18039,0.813359,0.003734775,0.8278667,0.002090453,0,19.90629,10.18085,0.02567819,49.97162,67.65819,5.668771,-48.455215093365,-48.36727,-2.918058,835.462112184261,821.2883,145.9049,79.43475,79.92629,31971.46,3959.385
28.00045,S,22.18041,0.7702943,0.002522431,0.8222374,0.001441919,0,19.90629,8.711389,0.01525907,49.97162,67.65853,5.668881,-46.0864259397873,-46.01395,-2.583614,788.634082643036,774.1415,143.1597,79.00132,79.52283,32768.75,4103.89
29.00047,S,23.18044,0.7290149,0.003456291,0.8168417,0.002214459,0,19.90629,7.454702,0.02018606,49.97162,67.65813,5.668752,-44.058442876735,-43.99763,-2.314075,744.049475899658,729.1724,140.7097,78.52663,79.07779,33520.02,4245.8
30.0005,S,24.18046,0.6892641,0.004903997,0.8116459,0.003014184,0,19.90629,6.375819,0.0236495,49.97162,67.6577,5.668615,-42.3178846278911,-42.26693,-2.076051,701.402939186541,686.0706,138.5184,78.00294,78.58537,34227.28,4385.394
31.00052,S,25.18048,0.6508274,0.006464448,0.8066219,0.004021704,0,19.90629,5.446655,0.02712323,49.97162,67.65717,5.668446,-40.8190478179316,-40.77635,-1.866533,660.438573657384,644.5742,136.5511,77.42283,78.03891,34892.27,4522.911
32.00054,S,26.1805,0.613529,0.008214726,0.8017467,0.005111487,0,19.90629,4.644457,0.02957346,49.97162,67.65659,5.66826,-39.5253928827243,-39.48969,-1.679603,620.944566726256,604.4625,134.782,76.77753,77.42992,35516.49,4658.562
33.00056,S,27.18053,0.5772192,0.01076826,0.7989122,0.006694738,0,19.90629,3.960064,0.0331418,49.97162,67.65576,5.667994,-38.421184105077,-38.39116,-1.518625,582.740125588893,565.5438,133.1864,76.05699,76.74822,36101.14,4792.532
34.00059,S,28.18055,0.5417643,0.01422143,0.7973024,0.008833671,0,19.90629,3.370356,0.03729169,49.97162,67.65463,5.667632,-37.4692456584971,-37.44392,-1.377398,545.663283938218,527.6423,131.7406,75.24808,75.98112,36647.46,4924.984
35.00061,S,29.18057,0.5070738,0.01896506,0.7957281,0.01178291,0,19.90629,2.856904,0.04224514,49.97162,67.65308,5.667133,-36.6397563010846,-36.61837,-1.251687,509.599384898765,490.625,130.428,74.33471,75.11279,37156.34,5056.058
36.00063,S,30.1806,0.4730799,0.02568347,0.7941869,0.01595749,0,19.90629,2.409988,0.04835278,49.97162,67.65087,5.666426,-35.9167126715532,-35.89861,-1.140197,474.45804809533,454.3781,129.2336,73.29693,74.12326,37628.6,5185.879
37.00066,S,31.18062,0.4397357,0.0352785,0.7931632,0.0219192,0,19.90629,2.022614,0.05580933,49.97162,67.64773,5.665419,-35.2884341658379,-35.27304,-1.042226,440.171695546715,418.8036,128.1444,72.10933,72.98708,38064.96,5314.561
38.00064,S,32.18061,0.4070084,0.04916433,0.7932057,0.03054917,0,19.90629,1.688286,0.06491621,49.97162,67.64318,5.663961,-34.7439087282414,-34.73072,-0.9572262,406.688189094396,383.81,127.1461,70.73949,71.67133,38466.05,5442.198
39.00048,S,33.18044,0.3748952,0.06983015,0.7930824,0.04338703,0,19.90629,1.397831,0.07633892,49.97162,67.63642,5.661795,-34.2676994305779,-34.25631,-0.8834305,373.986509864594,349.3237,126.2272,69.14572,70.13281,38832.4,5568.878
