Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.11782,0,0,102.58,102.5641,-0.003984451,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3256823,0.7103983,1.126629,0.8655323,911.0403,62.08886,14.013,11.01476,100.6681,102.4211,0.4382396,432.688380670367,432.2034,20.48062,380.1219578167,379.2297,18.69455,86.78389,87.17783,180.9936,9.397738
1.999998,B,1.999998,0.6363841,0.009949059,1.134364,0.009410399,653.5232,58.30967,52.77446,0.4413875,98.75626,102.5625,0.9515581,299.38669143463,298.5458,22.42312,735.943900618298,734.2565,42.4728,86.12927,86.68944,752.2889,39.77668
2.999998,B,2.999998,0.8710323,0.006272075,1.163593,0.007457249,584.5947,55.32938,98.21045,0.6325714,96.84439,102.5628,1.429606,250.746266117384,249.9631,19.80249,1002.85917509797,1000.4,62.85307,85.99297,86.40495,1625.233,92.61126
3.999997,B,3.999997,1.067468,0.003606802,2.121221,0.005442807,594.8326,52.43091,257.7632,0.6632847,94.93252,103.0245,2.022989,174.77496639188,174.0901,15.45723,1223.201869745,1220.005,81.04268,85.86031,86.19953,2743.594,164.974
5.00002,B,5.00002,1.196019,0.002730261,2.390208,0.004059712,591.8995,49.52406,346.6182,0.5898234,93.0206,102.7986,2.444501,127.308225048031,126.6738,12.6938,1363.96204701302,1360.159,94.44889,85.72313,86.02779,4037.698,252.908
6.000038,S,0.18,1.217283,-0.05072017,1.641152,-0.06239891,0,29.44842,141.6662,-5.371777,53.15,70.09348,5.430603,-187.049441026355,-186.982,-5.022456,1378.54859101406,1374.59,97.06112,85.60617,85.96099,5440.097,351.8802
7.000038,S,1.179999,1.083632,-0.02980252,1.447042,-0.03489608,0,29.44842,93.70583,-2.254794,53.15,69.94025,5.381489,-134.55378410516,-134.4636,-4.925555,1222.15191486505,1218.412,88.20296,85.4867,85.85948,6731.483,444.27
8.000036,S,2.179998,0.9826559,0.01876329,1.246854,0.01340046,0,29.44842,63.09334,0.6768509,53.15,70.56276,5.581012,-101.0313100952,-100.8615,-5.855206,1104.10991555999,1100.496,81.92451,85.38174,85.74257,7887.406,529.1309
9.000036,S,3.179997,0.9070951,-0.009314832,1.036035,-0.006846406,0,29.44842,42.5685,-0.2808696,53.15,71.31978,5.823647,-78.6366863356819,-78.56958,-3.248005,1015.66807458407,1012.11,77.60607,85.19339,85.61528,8941.392,608.7552
