Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,65.72556,0,0,102.58,116.0253,3.361326,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3284607,-0.1559202,0.8135104,-0.06995514,911.0433,61.69661,10.29133,-0.9055264,100.6522,115.9445,3.823064,437.691735136729,435.8892,39.68199,383.377025294327,382.1091,23.81912,85.18295,86.43303,182.3151,10.41975
1.999998,B,1.999998,0.6454094,-0.1040833,0.8196626,-0.06049356,653.5392,57.91741,39.21309,-2.918174,98.72442,115.9553,4.307731,309.286775159818,307.5058,33.14351,746.420974547092,743.396,59.79665,84.73587,85.40119,759.1447,53.7112
2.999998,B,2.999998,0.8916133,-0.00711853,0.8266082,-0.003475658,584.6443,54.93713,73.04523,-0.3087424,96.79663,116.0213,4.806158,267.611584682569,266.0862,28.53234,1026.59216844124,1022.092,88.68283,84.62613,85.04109,1646.977,128.2675
3.999997,B,3.999997,1.107512,0.001197637,1.558199,0.0009579554,594.9487,52.03865,203.4111,0.1254688,94.86884,121.3261,6.614317,210.088190365486,208.713,23.99857,1269.15668085375,1263.229,115.1851,84.46143,84.79,2796.088,230.6132
5.00002,B,5.00002,1.272346,0.00161542,1.710596,0.001051159,592.1448,49.1318,279.4527,0.172133,92.941,118.4715,6.382635,172.800786939182,171.5025,21.14248,1450.82565528492,1443.641,136.8723,84.29718,84.58395,4153.165,356.8454
6.000038,S,0.18,1.33645,-0.0111036,0.844811,-0.000118464,0,24.22377,87.09278,-0.01218882,53.15,63.62691,3.357984,-147.732648195857,-147.3126,-11.13253,1512.94538221717,1505.178,145.7758,84.1806,84.46819,5663.162,502.1687
7.000038,S,1.179999,1.224287,-0.01570208,0.8321607,-0.005404138,0,24.22377,67.69846,-0.4388648,53.15,63.63219,3.359676,-121.991291625398,-121.7099,-8.281031,1379.36835783893,1371.91,135.9131,84.02335,84.34225,7098.915,642.8486
8.000036,S,2.179998,1.129002,-0.004868391,0.8420699,-0.001057022,0,24.22377,54.92838,-0.06883559,53.15,63.66265,3.369438,-105.017789230435,-104.7656,-7.27359,1266.37911010325,1259.149,127.794,83.86972,84.20476,8412.479,774.5798
9.000036,S,3.179997,1.046029,0.002133538,0.8402864,0.000408071,0,24.22377,44.46706,0.02156108,53.15,63.67706,3.374058,-91.1211794212684,-90.91347,-6.149009,1168.48448205209,1161.411,121.0413,83.69456,84.05016,9621.154,898.8999
10.00004,S,4.180001,0.9765598,0.002303864,0.7121847,0.0005880103,0,24.22377,31.57162,0.02603146,53.15,63.257,3.239423,-74.0013842957496,-73.86418,-4.504197,1086.75200113579,1079.755,115.7871,83.49709,83.8793,10739.94,1017.176
11.00006,S,5.180024,0.9190567,0.0008104458,0.6065681,0.0002385953,0,24.22377,22.82775,0.008968395,53.15,62.91023,3.128279,-62.397971516205,-62.30837,-3.342735,1019.09327674319,1012.094,111.8994,83.28178,83.69087,11784.56,1130.923
12.00008,S,6.180047,0.9322929,0.001661981,0.5430841,0.0004885143,333.1921,24.00385,20.19898,0.01830627,53.00641,62.98972,3.19978,387.610441510742,384.2545,50.89532,1034.67805291432,1027.077,117.8509,83.05241,83.45428,12773.01,1242.018
13.00011,S,7.180069,1.335591,0.0007951952,0.7124527,0.0002582048,363.2665,22.32508,51.67389,0.01883391,52.20888,63.62674,3.659572,417.154972285403,413.3572,56.16134,1474.39265777278,1462.948,176.014,82.85725,83.13946,14016.72,1388.378
14.00013,S,8.180092,1.707137,0.0005094971,0.8057551,0.0001550281,359.8697,20.74017,89.08989,0.01721229,51.41135,63.43675,3.854297,388.174838473769,384.4219,53.84708,1871.92041443463,1856.759,230.4297,82.70329,82.92558,15681.47,1591.858
15.00015,S,9.180115,2.082682,0.0003907249,0.6525081,0.0001074318,355.7362,19.18613,98.45898,0.01626804,50.61382,62.51278,3.813771,399.566060308803,395.5875,56.24559,2266.03608812828,2247.032,285.5246,82.57479,82.75838,17734.37,1849.633
16.00018,S,10.18014,2.44016,0.0003629039,0.5433832,0.00008883131,91.91712,17.79814,101.3141,0.01655649,49.81628,61.51857,3.750735,-49.1023185305004,-49.07095,-1.754865,2625.97537918809,2603.303,336.9907,82.46587,82.62422,20178.74,2163.125
17.0002,S,11.18016,2.290933,0.000434977,0.7284746,0.0001155618,0,17.74805,107.1045,0.01695912,49.58511,61.93562,3.958494,-226.09531480781,-224.6782,-25.27445,2440.16600009253,2418.492,317.1747,82.35822,82.52855,22707.12,2492.669
18.00022,S,12.18018,2.114541,0.0005377269,0.7785456,0.0001379214,0,17.74805,87.89266,0.01554378,49.58511,62.42553,4.115518,-191.269028266288,-190.1097,-21.0272,2232.51267511857,2212.063,294.1449,82.23957,82.42564,25018.5,2797.976
19.00024,S,13.18021,1.962868,0.0005759497,0.8291851,0.0001706843,0,17.74805,73.19099,0.01504196,49.58511,62.83332,4.246219,-164.618818619204,-163.6564,-17.77465,2055.37208719109,2035.911,274.8366,82.10981,82.31187,27139.41,3082.197
20.00027,S,14.18023,1.830192,0.0007039251,0.8817858,0.000208191,0,17.74805,61.7626,0.01456021,49.58511,63.16621,4.352917,-143.90229932789,-143.0925,-15.24494,1901.67983548,1883.023,258.3915,81.96834,82.18658,29096.4,3348.601
