Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,64.40322,0,0,102.58,106.1932,0.9032993,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3359829,0.7186716,0.7714409,0.3331729,911.0532,60.37425,10.20974,4.511897,100.5965,105.7425,1.286488,447.940041540048,447.1299,26.9283,392.15371623627,391.0859,21.58482,86.48949,86.84093,186.5077,10.26339
1.999998,B,1.999998,0.6609129,0.04365051,0.769901,0.0157968,653.5822,56.59505,38.59767,0.7985672,98.61308,106.171,1.889478,317.541880186472,316.4194,26.676,764.314434817741,762.0051,52.03488,85.58858,86.09351,777.4925,47.07223
2.999998,B,2.999998,0.9142607,0.02532281,0.7832646,0.0113188,584.7388,53.61477,72.66455,1.055575,96.62962,106.8769,2.561827,275.227835183639,274.1691,24.11775,1052.53540007493,1049.156,76.94107,85.43275,85.80566,1688.245,111.5777
3.999997,B,3.999997,1.136464,0.003495166,1.433059,0.001895086,595.1067,50.71629,196.4448,0.2606633,94.64615,113.0425,4.599092,220.867919033367,219.8297,21.3902,1302.08193481204,1297.634,100.1981,85.2663,85.58461,2867.504,200.4106
5.00002,B,5.00002,1.318066,0.001656328,1.454326,0.0007421999,592.3872,47.80944,253.81,0.1298676,92.66264,109.753,4.272578,195.825462653697,194.7916,20.09588,1502.55829420506,1497.119,120.3996,85.12498,85.40211,4267.318,310.7761
6.000038,S,0.18,1.400087,-0.01725958,0.7708402,-0.002275261,0,25.11598,86.56445,-0.2550487,53.15,64.81539,3.738907,-142.986509248938,-142.7186,-8.748888,1584.15049462764,1578.219,129.6233,85.02302,85.30469,5842.326,439.3768
7.000038,S,1.179999,1.289453,0.01162988,0.798736,0.002266591,0,25.11598,71.28532,0.2019447,53.15,64.94337,3.779927,-123.40225469997,-123.1495,-7.894119,1451.59044961086,1445.875,121.3519,84.92554,85.20242,7352.09,564.7584
8.000036,S,2.179998,1.192336,0.008908614,0.8345315,0.002360029,0,25.11598,59.81409,0.1688775,53.15,65.01604,3.803219,-108.707927493302,-108.4969,-6.770243,1335.94599927283,1330.402,114.2472,84.78729,85.09181,8738.44,682.4556
9.000036,S,3.179997,1.106407,-0.002991104,0.8482404,-0.0009833662,0,25.11598,49.27623,-0.05703798,53.15,64.94145,3.779311,-95.2172206174436,-95.06044,-5.461854,1234.24951317259,1228.831,108.1909,84.62626,84.96844,10016.42,793.5851
10.00004,S,4.180001,1.030122,0.002242404,0.8202048,0.0005321997,0,25.11598,39.71474,0.02573211,53.15,64.70921,3.704876,-82.9674736611579,-82.83903,-4.614845,1144.47294947851,1139.138,103.0414,84.46786,84.83134,11198.97,899.1237
11.00006,S,5.180024,0.9658647,0.001321088,0.7101297,0.0003300828,0,25.11598,28.90459,0.01341812,53.15,64.14704,3.524692,-69.1259211883456,-69.03981,-3.449292,1069.02314347419,1063.716,99.05463,84.28976,84.67989,12298.88,1000.075
12.00008,S,6.180047,0.9731404,0.0006089642,0.6166549,0.0001991229,334.4543,24.89606,24.41767,0.007938906,53.01329,64.21101,3.589016,368.684821198775,366.3552,41.38073,1077.50737743763,1071.797,103.4501,84.09925,84.48688,13336.08,1098.188
13.00011,S,7.180069,1.361926,0.0007544911,0.6470336,0.0002111472,364.5553,23.21729,47.59967,0.01561794,52.25393,64.86199,4.041047,407.254462647974,404.5704,46.67964,1500.07390301529,1491.681,151.1248,83.93702,84.215,14615.75,1224.928
14.00013,S,8.180092,1.741221,0.0005253339,0.6166551,0.0001610858,361.1501,21.63238,69.07847,0.01812151,51.49457,64.47913,4.161717,402.434573974075,399.6575,47.19607,1905.02404769665,1893.915,198.0977,83.80986,84.02875,16310.82,1399.48
15.00015,S,9.180115,2.11762,0.0004063412,0.6186644,0.0001148162,357.0054,20.07834,93.78812,0.01746507,50.73521,64.01421,4.256091,389.829344754235,387.0216,46.70331,2298.23603442515,2284.367,244.7687,83.70271,83.88412,18403.35,1620.995
16.00018,S,10.18014,2.470492,0.0002354022,0.5128282,0.00006253267,93.14221,18.69035,95.04867,0.01158685,49.97585,63.12376,4.214072,-35.4787331603248,-35.47868,0.06141758,2651.77468337197,2635.302,287.7791,83.6106,83.76791,20881.36,1889.052
17.0002,S,11.18016,2.337973,0.000223556,0.6925947,0.00006868513,0,18.64026,102.5985,0.01015766,49.75575,63.47941,4.39861,-209.095108856122,-208.1852,-19.48556,2483.43124822592,2467.563,272.957,83.51974,83.68771,23450.01,2171.459
18.00022,S,12.18018,2.175875,0.0003085958,0.73787,0.0001020813,0,18.64026,85.05319,0.01174841,49.75575,63.88346,4.528113,-178.812125169034,-178.0607,-16.37569,2290.31878039876,2275.233,255.1053,83.42052,83.60256,25817.93,2435.232
19.00024,S,13.18021,2.035193,0.0002795478,0.782928,0.00005934751,0,18.64026,71.36416,0.00540165,49.75575,64.1786,4.62271,-155.18553865235,-154.5589,-13.9319,2123.9582594217,2109.507,240.0087,83.31277,83.50909,28007.52,2682.587
20.00027,S,14.18023,1.914058,0.0002085016,0.772517,0.00005432737,0,18.64026,56.59602,0.003974922,49.75575,64.3151,4.66646,-129.698705687765,-129.2124,-11.22096,1981.48053898394,1967.527,227.4045,83.19659,83.40707,30043.12,2916.056
21.00029,S,15.18025,1.8112,0.0008207589,0.7555551,0.0002389888,0,18.64026,46.151,0.01458047,49.75575,64.41128,4.697285,-111.673095764432,-111.2833,-9.322417,1860.62950580463,1847.044,217.099,83.07278,83.2963,31948.21,3138.135
22.00031,S,16.18027,1.722732,0.0007162033,0.7476407,0.0002219661,0,18.64026,37.67787,0.0111738,49.75575,64.49717,4.724814,-97.0524842247878,-96.743,-7.744459,1756.77555635698,1743.452,208.6175,82.93974,83.17656,33741.73,3350.863
23.00034,S,17.1803,1.645002,0.0009289367,0.7457397,0.0002616725,0,18.64026,31.21354,0.01094125,49.75575,64.57506,4.749779,-85.8991291361261,-85.64989,-6.538863,1665.69155820438,1652.547,201.5113,82.79816,83.04768,35438.36,3555.827
24.00036,S,18.18032,1.575526,0.0005696321,0.7480326,0.0001748447,0,18.64026,26.11565,0.006098331,49.75575,64.64097,4.770904,-77.104873479418,-76.90316,-5.573643,1584.50842479478,1571.475,195.4784,82.64667,82.9093,37049.26,3754.243
25.00038,S,19.18034,1.512598,0.0007423928,0.7533771,0.0002135187,0,18.64026,21.99314,0.00622744,49.75575,64.70242,4.790598,-69.994002924721,-69.8297,-4.793062,1511.24494303364,1498.265,190.3093,82.48593,82.76107,38583.18,3947.073
26.0004,S,20.18037,1.454973,0.001010053,0.7610319,0.0002962886,0,18.64026,18.59376,0.007232602,49.75575,64.76096,4.809364,-64.1314817401134,-63.99748,-4.14361,1444.44707206387,1431.47,185.8514,82.315,82.60252,40047.22,4135.099
27.00043,S,21.18039,1.401262,0.001420039,0.7706035,0.0004223557,0,18.64026,16.20478,0.008873906,49.75575,64.81789,4.827609,-60.0112213496933,-59.8972,-3.697583,1382.56616564672,1369.55,181.932,82.13318,82.43309,41447.07,4318.953
28.00045,S,22.18041,1.350542,0.001679648,0.7819006,0.0004972673,0,18.64026,14.15457,0.008994272,49.75575,64.87437,4.845714,-56.4759238014676,-56.37894,-3.308337,1324.57493052298,1311.483,178.4366,81.93937,82.25208,42787.01,4499.105
29.00047,S,23.18044,1.302264,0.002093205,0.7948787,0.0006269092,0,18.64026,12.437,0.009800653,49.75575,64.93098,4.863858,-53.5144319319563,-53.43129,-2.981891,1269.8381330532,1256.636,175.2981,81.73291,82.0586,44070.55,4675.945
30.0005,S,24.18046,1.255984,0.002527397,0.8099291,0.0007572583,0,18.64026,10.98966,0.01026642,49.75575,64.98869,4.882352,-51.0191488853551,-50.94737,-2.705373,1217.84000115378,1204.495,172.4595,81.5127,81.85177,45300.64,4849.801
31.00052,S,25.18048,1.207199,0.003121768,0.8286917,0.00093779,0,18.64026,9.777866,0.01105591,49.75575,65.03146,4.896063,-48.9299066408534,-48.86728,-2.474815,1168.14661060429,1154.627,169.8739,81.27761,81.63043,46479.79,5020.948
32.00054,S,26.1805,1.15791,0.003883188,0.8421889,0.001150689,0,18.64026,8.660982,0.01182369,49.75575,64.98859,4.882322,-47.0048446192048,-46.95064,-2.256728,1120.4509664041,1106.725,167.5082,81.02635,81.39333,47610.06,5189.621
33.00056,S,27.18053,1.110593,0.004817496,0.8478059,0.001409787,0,18.64026,7.615618,0.01265316,49.75575,64.94459,4.868218,-45.2037871641628,-45.15747,-2.045795,1074.66441502185,1060.698,165.3594,80.75751,81.1391,48693.39,5356.037
34.00059,S,28.18055,1.065051,0.005987791,0.8526434,0.001728341,0,18.64026,6.702487,0.01357479,49.75575,64.89749,4.853123,-43.6308437263457,-43.59122,-1.859049,1030.59358805992,1016.351,163.4098,80.46947,80.8661,49731.55,5520.407
35.00061,S,29.18057,1.021275,0.007450262,0.8051472,0.002153859,0,18.64026,5.549084,0.01483203,49.75575,64.62835,4.76686,-41.6477710277376,-41.61727,-1.593634,988.235859153664,973.6772,161.6704,80.16048,80.57256,50726.19,5682.923
36.00063,S,30.1806,0.9796579,0.009278538,0.7344844,0.002718398,0,18.64026,4.450315,0.01645738,49.75575,64.26297,4.649751,-39.7608690362676,-39.7387,-1.327565,947.967775414858,933.0433,160.2153,79.82895,80.25661,51679.2,5843.844
