Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.6946,0,0,102.58,127.7503,6.29258,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.323316,-0.4058255,0.7414788,-0.1594803,911.0364,62.66565,9.089493,-2.000442,100.6911,127.2992,6.652029,431.087789261543,428.898,43.39571,377.37783644837,376.0112,24.75252,84.71657,86.2337,179.3873,10.52723
1.999998,B,1.999998,0.6360609,-0.08232579,0.7439463,-0.04189593,653.5115,58.88645,34.582,-1.963824,98.80213,127.63,7.206962,306.18652242497,304.3211,33.74692,735.651200074029,732.3681,62.08873,84.50259,85.15416,747.3086,55.37231
2.999998,B,2.999998,0.8808117,-0.000455323,0.7463128,-0.002093062,584.5895,55.90617,64.41872,-0.1816209,96.91319,127.7443,7.707772,267.364345627402,265.7102,29.69483,1014.26403554088,1009.392,91.95913,84.38142,84.79453,1623.042,132.5314
3.999997,B,3.999997,1.107421,-0.001512208,1.083897,-0.001026282,594.8752,53.00769,141.651,-0.1346366,95.02425,131.1651,9.0352,243.115858267856,241.4582,28.34181,1269.52150560419,1263.04,120.7853,84.20633,84.53738,2763.134,239.0402
5.00002,B,5.00002,1.320427,0.001134932,1.066144,0.0006178658,592.1286,50.10084,187.6409,0.1090737,93.13527,130.6212,9.371486,227.789411590552,226.1341,27.4114,1506.17371889944,1498.067,148.7244,84.05386,84.33039,4146.092,373.8519
