Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,65.11681,0,0,102.58,105.5935,0.7533703,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3321038,1.040666,0.6659752,0.2741692,911.048,61.08785,8.612259,3.62797,100.627,104.5285,0.9753859,443.17336586148,442.4904,24.59427,387.632463272706,386.5714,21.32646,86.80036,86.8423,184.3035,10.22611
1.999998,B,1.999998,0.6544926,-0.2248663,0.6640996,-0.05680073,653.5626,57.30865,32.65963,-2.816901,98.67395,105.3549,1.670226,316.558855392999,315.2595,28.65234,756.930531295098,754.9068,47.97822,85.58447,86.36345,769.1578,44.4724
2.999998,B,2.999998,0.9083768,-0.04146161,0.6691349,-0.009637234,584.7036,54.32837,61.31514,-0.8878041,96.72092,105.6822,2.240309,277.902932870346,276.8163,24.5515,1045.8576009197,1042.835,72.12118,85.60145,86.04379,1672.894,104.949
3.999997,B,3.999997,1.144454,-0.003456781,0.9371554,-0.00104466,595.0705,51.42989,130.3605,-0.1458894,94.7679,107.4186,3.162667,258.663666689795,257.6042,23.38736,1311.66853798799,1307.622,95.61673,85.49482,85.81783,2851.302,188.9371
5.00002,B,5.00002,1.375455,0.0003919532,0.8460943,0.0001713093,592.4305,48.52304,160.6678,0.03263626,92.81483,106.6673,3.463113,254.237898776775,253.1481,23.51486,1568.37314616662,1563.281,118.9458,85.3821,85.6489,4288.357,296.1824
6.000038,S,0.18,1.502621,0.01303536,0.6058984,0.001423109,0,23.60561,77.99388,0.182891,53.15,55.34576,0.7037688,-138.398850158396,-138.1387,-8.481821,1699.65477582691,1693.966,131.6094,85.32395,85.55744,5958.38,425.1086
7.000038,S,1.179999,1.396038,-0.001106899,0.629712,-0.0001039452,0,23.60561,65.20007,-0.01074588,53.15,55.45408,0.7384863,-120.966402358209,-120.7639,-6.996496,1570.45520172986,1564.964,123.8794,85.20614,85.47402,7585.757,552.7239
8.000036,S,2.179998,1.301585,0.00456877,0.6563153,0.0005978039,0,23.60561,55.14376,0.05015374,53.15,55.55832,0.7718967,-107.258396631488,-107.0835,-6.122718,1456.69437262976,1451.351,117.3196,85.09556,85.37856,9092.213,673.2477
9.000036,S,3.179997,1.216746,0.004480391,0.682076,0.0006022304,0,23.60561,47.41763,0.0418071,53.15,55.6746,0.809167,-96.7281450728418,-96.57838,-5.380573,1355.18154891628,1349.952,111.6046,84.96935,85.27393,10491.49,787.648
10.00004,S,4.180001,1.139423,0.004506482,0.6995611,0.0005973862,0,23.60561,40.45442,0.03449819,53.15,55.80788,0.8518855,-87.2381276603281,-87.11146,-4.69941,1263.31339057025,1258.168,106.5685,84.83155,85.15852,11794.3,896.6783
11.00006,S,5.180024,1.069333,0.005137319,0.7068799,0.0006739588,0,23.60561,34.25541,0.03261653,53.15,55.97473,0.9053622,-78.7898491039669,-78.68378,-4.086941,1180.54833883003,1175.457,102.1877,84.682,85.03152,13009.99,1001.005
12.00008,S,6.180047,1.073477,0.004816639,0.5671565,0.000659706,336.2468,23.38569,26.41961,0.03093629,53.00123,55.96272,0.9491952,394.247021811595,392.1228,40.87082,1185.03390499247,1179.609,105.9256,84.52036,84.86876,14154.43,1101.911
13.00011,S,7.180069,1.499955,0.001971406,0.4742953,0.0002732352,366.5338,21.70692,40.68781,0.02356861,52.17492,55.3544,1.019065,450.963755792767,448.4555,47.49709,1646.54509584692,1638.632,153.8975,84.38247,84.63461,15560.18,1231.175
14.00013,S,8.180092,1.928239,0.001293831,0.4265318,0.0001859803,363.3515,20.12201,55.89471,0.02447871,51.34861,55.1365,1.21407,459.608395961127,456.9586,49.282,2101.24659141722,2090.769,202.2413,84.27715,84.47493,17426.29,1409.08
15.00015,S,9.180115,2.374084,0.0008638066,0.3819999,0.0001220117,359.468,18.56797,68.68986,0.02202069,50.52229,54.75028,1.355125,471.859283901804,469.0628,51.29594,2564.16081366133,2550.985,252.2728,84.19001,84.35225,19748.6,1636.184
16.00018,S,10.18014,2.810088,0.0007744151,0.3299172,0.0001046444,95.90574,17.17998,73.55928,0.02333334,49.69598,53.58791,1.247414,10.4823346970719,9.430101,4.577394,2998.0327630135,2982.238,300.0035,84.11685,84.25555,22535.37,1914.121
17.0002,S,11.18016,2.708925,0.0007862315,0.4689617,0.0001047266,0,17.12989,85.16131,0.01899233,49.45647,53.97448,1.448082,-191.984968765886,-191.2983,-16.22309,2855.67944819098,2840.267,288.9562,84.04534,84.19097,25466.76,2210.761
18.00022,S,12.18018,2.567801,0.0007984207,0.4921702,0.000108612,0,17.12989,70.74409,0.0155926,49.45647,54.32909,1.561738,-164.907853786067,-164.3435,-13.63137,2677.95188321806,2663.123,274.0938,83.96838,84.1237,28215.32,2492.071
19.00024,S,13.18021,2.445062,0.00081675,0.5141922,0.0001117353,0,17.12989,60.54978,0.01314244,49.45647,54.60226,1.649292,-145.761905566415,-145.2827,-11.80975,2523.70808357914,2509.351,261.4773,83.88637,84.05118,30799.24,2759.709
20.00027,S,14.18023,2.3361,0.0009015436,0.5354285,0.0001257375,0,17.12989,50.96651,0.01195594,49.45647,54.82553,1.720855,-127.764484644378,-127.3669,-10.07156,2387.34550539786,2373.374,250.5689,83.79916,83.97332,33238.43,3015.587
21.00029,S,15.18025,2.240321,0.0009947271,0.5556079,0.0001390644,0,17.12989,42.87348,0.01072027,49.45647,54.99969,1.776673,-112.566520453873,-112.2383,-8.589851,2267.52778438762,2253.859,241.2648,83.70673,83.89003,35550.21,3261.38
22.00031,S,16.18027,2.156047,0.001257741,0.5651624,0.0001758967,0,17.12989,35.38832,0.01100396,49.45647,55.08955,1.805475,-98.5115358013401,-98.24832,-7.196548,2161.95693667207,2148.517,233.3567,83.60924,83.80124,37749.72,3498.577
23.00034,S,17.1803,2.083494,0.001647752,0.5604686,0.00022952,0,17.12989,28.48538,0.01165555,49.45647,55.10046,1.808972,-85.5518435830121,-85.34916,-5.885476,2070.32119501184,2057.034,226.8465,83.50681,83.70694,39850.97,3728.571
24.00036,S,18.18032,2.019966,0.002049298,0.5581422,0.0002859271,0,17.12989,23.8245,0.0121955,49.45647,55.11281,1.812931,-76.8022292881341,-76.63901,-5.004455,1989.44663621555,1976.251,221.4223,83.39927,83.60715,41866.5,3952.633
25.00038,S,19.18034,1.962775,0.002551273,0.5579715,0.0003550835,0,17.12989,20.14119,0.01280818,49.45647,55.12619,1.817219,-69.8886861677735,-69.756,-4.304523,1916.37359134834,1903.223,216.7854,83.28642,83.50177,43805.3,4171.676
26.0004,S,20.18037,1.910515,0.003111951,0.5592009,0.0004321774,0,17.12989,17.19247,0.01327796,49.45647,55.14038,1.821767,-64.3547980501228,-64.24598,-3.740867,1849.4904942082,1836.346,212.7751,83.16807,83.39068,45674.3,4386.41
27.00043,S,21.18039,1.847205,0.003808492,0.5621195,0.00052768,0,17.12989,14.80906,0.01389246,49.45647,55.16027,1.828142,-59.8824734903995,-59.7924,-3.28322,1787.59597879928,1774.424,209.2726,83.04403,83.2737,47479,4597.395
28.00045,S,22.18041,1.787429,0.004589553,0.5663152,0.0006347522,0,17.12989,12.85087,0.01439452,49.45647,55.18183,1.835052,-56.2086446985481,-56.13353,-2.904918,1729.76706359616,1716.538,206.1864,82.91395,83.15059,49223.9,4805.094
29.00047,S,23.18044,1.731136,0.005529636,0.5715505,0.0007616939,0,17.12989,11.22144,0.01494512,49.45647,55.20469,1.84238,-53.1520963457729,-53.08904,-2.588277,1675.30275057796,1661.99,203.4458,82.77762,83.02109,50912.64,5009.882
30.0005,S,24.18046,1.677726,0.00663888,0.5792317,0.0009118216,0,17.12989,9.877428,0.0155393,49.45647,55.22882,1.850112,-50.6312777597336,-50.5778,-2.326464,1623.62381718669,1610.203,200.9931,82.63466,82.88487,52548.28,5212.083
31.00052,S,25.18048,1.626733,0.007952141,0.5877534,0.001089283,0,17.12989,8.734675,0.01617805,49.45647,55.25417,1.858237,-48.4882560154869,-48.44265,-2.10253,1574.28165230073,1560.73,198.7829,82.48472,82.74158,54133.31,5411.953
32.00054,S,26.1805,1.577811,0.009467556,0.5968996,0.001292926,0,17.12989,7.75366,0.01678476,49.45647,55.2849,1.868089,-46.6488317979857,-46.60976,-1.908869,1526.94112346054,1513.237,196.7801,82.32742,82.59088,55669.9,5609.719
33.00056,S,27.18053,1.530671,0.01126779,0.6066054,0.001535121,0,17.12989,6.905735,0.0174656,49.45647,55.32134,1.879767,-45.0591730433094,-45.02555,-1.74038,1481.32281521509,1467.445,194.958,82.16229,82.43226,57159.88,5805.574
34.00059,S,28.18055,1.48508,0.01335627,0.6168279,0.001814344,0,17.12989,6.168559,0.01813331,49.45647,55.35903,1.891848,-43.6773307907542,-43.64828,-1.592758,1437.20247433839,1423.13,193.2939,81.98884,82.26524,58604.83,5999.686
35.00061,S,29.18057,1.440843,0.0158247,0.6275517,0.002144526,0,17.12989,5.524466,0.01886728,49.45647,55.3981,1.904369,-42.4701218705668,-42.44492,-1.46288,1394.39105448176,1380.103,191.7683,81.80658,82.08928,60006.13,6192.206
36.00063,S,30.1806,1.397794,0.01878171,0.6388107,0.00253762,0,17.12989,4.959465,0.01968906,49.45647,55.43869,1.917379,-41.4112627450666,-41.38931,-1.348221,1352.72771978089,1338.203,190.3643,81.61498,81.90379,61364.99,6383.262
37.00066,S,31.18062,1.355788,0.02225897,0.6508876,0.002998144,0,17.12989,4.463696,0.02054825,49.45647,55.48109,1.930969,-40.4822213708274,-40.46301,-1.247024,1312.07300244737,1297.29,189.0682,81.41334,81.70805,62682.45,6572.971
38.00064,S,32.18061,1.314707,0.02633281,0.6634446,0.003536489,0,17.12989,4.024729,0.02144055,49.45647,55.5256,1.945235,-39.6596730866886,-39.6428,-1.156753,1272.31347381914,1257.25,187.8675,81.20097,81.50133,63959.47,6761.431
39.00048,S,33.18044,1.274455,0.03118117,0.6758341,0.004173938,0,17.12989,3.631258,0.02241255,49.45647,55.5726,1.9603,-38.9224194495589,-38.90757,-1.07505,1233.35508362403,1217.988,186.7526,80.97717,81.2828,65196.79,6948.733
40.00031,S,34.18027,1.234945,0.03691212,0.6880503,0.004925657,0,17.12989,3.277812,0.02345054,49.45647,55.62268,1.976351,-38.2602145463116,-38.24712,-1.000914,1195.11414779354,1179.419,185.7159,80.741,81.05146,66395.24,7134.961
41.00014,S,35.1801,1.196108,0.04363957,0.7010303,0.005803161,0,17.12989,2.963751,0.02451825,49.45647,55.67674,1.993677,-37.6717660346787,-37.66017,-0.9346399,1157.52290269591,1141.474,184.7493,80.49155,80.80631,67555.44,7320.188
41.99997,S,36.17994,1.157879,0.05161769,0.7112783,0.006842934,0,17.12989,2.670595,0.02567594,49.45647,55.73611,2.012708,-37.1226156398904,-37.11239,-0.8712637,1120.52206656061,1104.092,183.847,80.22783,80.54618,68677.99,7504.481
