Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,69.95065,0,0,102.58,122.7631,5.045786,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.30615,-0.6277602,1.085933,-0.7144927,911.0143,65.92169,11.93994,-8.037893,100.8109,122.504,5.423272,406.987709382258,404.0772,48.58613,357.338845898985,355.8552,25.19387,84.14932,85.95033,169.9632,10.13932
1.999998,B,1.999998,0.5986562,0.01533637,1.090902,0.02484549,653.4142,62.14249,44.9885,1.033048,99.04174,122.754,5.928068,283.003695269337,281.3207,30.8181,692.430731777895,689.0168,61.33936,84.32346,84.91269,705.8379,54.84824
2.999998,B,2.999998,0.8216502,0.004656065,1.11306,0.005209747,584.3669,59.1622,83.90289,0.3947135,97.27261,122.7612,6.372155,240.189017550752,238.5211,28.25684,946.345014239153,941.2683,90.55715,84.06722,84.50462,1526.018,131.1066
3.999997,B,3.999997,1.021873,0.002017518,1.864551,0.002979658,594.4788,56.26373,208.8964,0.334905,95.50348,126.3934,7.722473,188.546497154082,186.9995,24.10329,1171.77798234874,1165.063,117.9321,83.86517,84.21999,2584.763,235.7191
5.00002,B,5.00002,1.150358,0.001862029,2.649777,0.00263253,591.4492,53.35687,358.4521,0.3567087,93.73431,125.6903,7.988993,108.615962885002,107.3608,16.46469,1312.66520342333,1304.653,137.4769,83.66816,83.9847,3827.74,364.1427
6.000038,S,0.18,1.175136,-0.04038833,1.070525,-0.02231321,0,26.78316,87.08481,-1.811414,53.15,67.27875,4.528444,-136.716231833376,-136.4156,-9.061574,1332.46186715654,1323.954,142.9994,83.48145,83.83542,5170.705,507.9763
7.000038,S,1.179999,1.069336,0.02764811,1.077684,0.01402417,0,26.78316,68.84596,0.8942096,53.15,67.31532,4.540165,-114.707167280449,-114.255,-10.17493,1207.44241406955,1199.275,132.8672,83.3597,83.67801,6429.876,645.7303
8.000036,S,2.179998,0.9830058,0.005029216,0.9186774,0.0004141445,0,26.78316,47.17284,0.02123171,53.15,67.61156,4.635114,-88.707963335651,-88.47406,-6.43766,1105.80617381087,1097.851,125.0677,83.12827,83.50086,7575.642,774.4424
9.000036,S,3.179997,0.9160987,0.008349204,0.7615377,0.004303917,0,26.78316,32.37474,0.1827173,53.15,67.88612,4.723114,-70.9329552420772,-70.77364,-4.751423,1026.92801752279,1019.049,119.6307,82.90633,83.30444,8632.226,896.6273
10.00004,S,4.180001,0.8592634,0.003825064,0.7458792,0.001566805,0,26.78316,26.63721,0.0558801,53.15,67.95523,4.745266,-64.0513041158598,-63.93139,-3.917516,959.970276266322,952.0851,115.453,82.6551,83.08588,9616.914,1014.115
11.00006,S,5.180024,0.8069045,0.0007438121,0.7427052,0.000473516,0,26.78316,22.66105,0.0144287,53.15,67.95618,4.745569,-59.2795747541845,-59.1816,-3.406788,898.601378192641,890.6675,111.8113,82.38141,82.84472,10537.6,1127.709
12.00008,S,6.180047,0.8147089,0.001074326,0.6709218,0.0004686604,330.028,26.56324,20.14908,0.0141818,53.02451,67.95618,4.785794,343.496744157456,339.5626,51.83873,908.57558089264,899.9193,117.7843,82.08576,82.54333,11405.13,1238.669
13.00011,S,7.180069,1.169356,0.0009577089,0.9377083,0.0004953574,359.8845,24.88447,55.49652,0.0294809,52.32749,67.29377,4.796884,361.741703275558,357.3447,56.23011,1297.8018725722,1284.648,176.9724,81.83649,82.15633,12497.65,1385.64
14.00013,S,8.180092,1.493375,0.0004020196,1.01924,0.0002473118,356.2277,23.29956,92.65094,0.02257205,51.63047,67.25681,5.008439,332.181352045362,327.8548,53.43857,1647.57961398045,1630.068,232.2415,81.63931,81.89144,13959.03,1590.459
15.00015,S,9.180115,1.778627,0.0006752917,1.149797,0.0003638914,351.7889,21.74552,137.6448,0.04369001,50.93346,67.01814,5.155345,285.080250086743,281.0646,47.6806,1948.68549941769,1927.119,281.7801,81.46854,81.68126,15743.55,1848.026
16.00018,S,10.18014,2.020732,0.0006831353,1.003133,0.0002454191,87.56462,20.35753,142.0404,0.03471321,50.23644,66.34059,5.161586,-118.025612033958,-117.381,-12.31852,2192.97327722468,2167.834,323.7655,81.31682,81.50567,17808.42,2153.2
17.0002,S,11.18016,1.835432,-0.0008413462,1.243921,-0.0002631751,0,20.30744,132.8953,-0.02804767,50.03441,66.8698,5.39596,-242.406854789141,-240.3467,-31.53644,1975.29553856987,1951.842,296.1535,81.16111,81.37231,19880.33,2465.218
18.00022,S,12.18018,1.640794,0.002866873,1.308547,0.0006626295,0,20.30744,103.0782,0.05208142,50.03441,67.25269,5.518681,-195.165168392458,-193.5578,-24.99642,1753.87760386012,1732.219,267.4449,80.9892,81.22315,21717.73,2746.515
19.00024,S,13.18021,1.494963,-0.00530522,1.152676,-0.001805965,0,20.30744,70.06026,-0.1095706,50.03441,67.25575,5.519662,-142.873398654686,-141.8482,-17.08497,1588.3587427394,1567.895,246.8082,80.78759,81.05427,23362.73,3003.013
