Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,67.59206,0,0,102.58,116.1742,3.39856,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3183489,-0.1220504,0.8547471,-0.05326119,911.0302,63.5631,10.15948,-0.6477563,100.7257,116.1203,3.848665,423.954265732404,422.2175,38.33539,371.578561223356,370.3353,23.03592,85.18966,86.44063,176.7101,10.1028
1.999998,B,1.999998,0.6249316,-0.09329971,0.8645361,-0.05739391,653.4837,59.78391,38.81009,-2.597916,98.87135,116.1161,4.311199,298.815729427893,297.0884,32.08306,722.786696433667,719.8187,58.0993,84.71257,85.38544,735.4841,52.11188
2.999998,B,2.999998,0.8623984,-0.002565923,0.8785953,-0.0008524684,584.5246,56.80362,72.77554,-0.07097949,97.01703,116.1734,4.789085,257.851693871792,256.363,27.66782,993.113243025565,988.6899,86.29296,84.58772,85.01186,1594.709,124.6262
3.999997,B,3.999997,1.077059,0.002875052,1.465571,0.001941098,594.7548,53.90514,181.5488,0.2412929,95.1627,118.1113,5.737155,214.638200784628,213.2377,24.47939,1234.71595857961,1228.852,112.8576,84.41661,84.75269,2708.798,224.5106
5.00002,B,5.00002,1.253379,0.001674505,1.527268,0.001143571,591.8975,50.99829,243.2405,0.1826106,93.30833,118.4444,6.284017,187.992178055451,186.6183,22.68632,1429.92605012836,1422.732,135.9206,84.25191,84.54281,4037.366,349.0135
6.000038,S,0.18,1.320263,-0.03201636,1.29643,-0.00543849,0,23.95212,131.1441,-0.5486167,53.15,64.0742,3.501347,-208.218826958951,-207.58,-16.29796,1494.65410729939,1486.923,144.4902,84.13789,84.44977,5532.772,493.9243
7.000038,S,1.179999,1.154256,0.01403583,1.544404,0.002252319,0,23.95212,112.5509,0.16368,53.15,64.10655,3.511715,-183.224676050612,-182.5941,-15.18804,1300.57337673863,1293.437,128.7232,84.00911,84.31662,6919.917,630.3821
8.000036,S,2.179998,1.030901,-0.006707757,1.060329,-0.003328729,0,23.95212,58.39881,-0.1829843,53.15,63.79446,3.411687,-110.507788106489,-110.2375,-7.724301,1157.29453188126,1150.539,117.5275,83.79949,84.16747,8134.657,752.8464
9.000036,S,3.179997,0.952669,0.007755999,0.7469241,0.002388986,0,23.95212,33.38745,0.1066336,53.15,63.09657,3.188001,-76.9126982894426,-76.76083,-4.830956,1065.66982865045,1059.04,111.3514,83.61331,83.99776,9236.24,867.0078
10.00004,S,4.180001,0.8951089,0.001566578,0.6098869,0.0003287715,0,23.95212,23.15773,0.01246787,53.15,62.6289,3.038109,-63.1872204083154,-63.09728,-3.370175,997.82294299455,991.191,107.5172,83.39201,83.80917,10259.89,976.3266
11.00006,S,5.180024,0.8435304,0.001439943,0.6071328,0.0005550667,0,23.95212,19.69379,0.01798249,53.15,62.62857,3.038002,-58.5355231274089,-58.46008,-2.970945,937.186467914822,930.5089,104.3416,83.15772,83.60193,11220.05,1082.222
12.00008,S,6.180047,0.8593118,0.0009821783,0.5312808,0.000303465,331.7192,23.7322,17.23549,0.009926553,53.00418,62.62894,3.084861,394.4442564039,390.891,52.82516,956.215934642346,948.8867,110.8299,82.90248,83.33804,12128.53,1185.933
13.00011,S,7.180069,1.246244,0.001120672,1.251652,0.0003882229,361.6739,22.05343,81.4415,0.02539924,52.19425,64.14178,3.829335,376.953852757868,373.2619,52.62852,1379.17951035125,1367.95,168.3036,82.68463,82.98595,13291.83,1325.663
14.00013,S,8.180092,1.597206,0.0005866938,0.9624234,0.0001911383,358.134,20.46852,96.44843,0.01923777,51.38432,63.31796,3.824883,379.471759441616,375.5816,54.19666,1756.78880513036,1741.799,221.6697,82.51053,82.74725,14848.29,1520.509
