Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,67.86442,0,0,102.58,107.9726,1.348156,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.316589,0.1412086,1.045611,0.1818478,911.0281,63.83547,12.29143,2.187207,100.7359,107.9244,1.797106,420.874772811627,419.623,32.43628,369.518153360559,368.428,21.02826,85.73901,86.73335,175.8548,9.626849
1.999998,B,1.999998,0.6194569,-0.002129521,1.057378,0.001379055,653.4731,60.05627,46.64661,0.06133823,98.89186,107.9723,2.2701,293.051406057665,291.7526,27.55988,716.433877211719,713.8925,52.95595,85.17048,85.75761,730.9329,47.81056
2.999998,B,2.999998,0.8504053,0.005879864,1.076444,0.006334442,584.4929,57.07599,86.74535,0.5130625,97.04779,107.9709,2.730787,248.548330956295,247.325,24.6296,979.289170384555,975.5198,78.50438,84.97718,85.39907,1580.87,113.8459
3.999997,B,3.999997,1.056043,0.003683432,1.711639,0.005215502,594.6845,54.17751,204.0833,0.6239172,95.20372,105.4407,2.559246,199.948183218234,198.8089,21.31425,1210.64438070759,1205.682,102.1672,84.81422,85.15643,2677.104,204.5023
5.00002,B,5.00002,1.197467,0.0030295,2.552127,0.004238668,591.7514,51.27066,372.0175,0.6188193,93.3596,105.3861,3.006624,105.927488427528,105.0402,13.68171,1365.71093244899,1359.771,119.9017,84.6573,84.96082,3968.669,316.1949
6.000038,S,0.18,1.183931,-0.02327334,2.199795,0.00412818,0,25.92702,180.2665,0.3370044,53.15,67.69868,4.663037,-255.7592348841,-254.9585,-20.2225,1340.42516756273,1334.493,118.6335,84.58431,84.91988,5353.972,440.0663
7.000038,S,1.179999,1.033086,-0.0322076,1.326896,-0.03417107,0,25.92702,78.57063,-2.018912,53.15,67.65799,4.649996,-129.655879036855,-129.4992,-6.37214,1165.68633943612,1160.157,106.0686,84.38495,84.77619,6590.699,551.7211
8.000036,S,2.179998,0.9419537,0.01640858,0.9726694,0.00986525,0,25.92702,45.61906,0.4619155,53.15,68.21425,4.828285,-88.676328066266,-88.48148,-5.875275,1059.15907915302,1053.789,99.18588,84.24435,84.62299,7693.795,654.0502
9.000036,S,3.179997,0.8746381,0.004328729,0.8673537,0.00549174,0,25.92702,33.49537,0.2117615,53.15,68.46976,4.910178,-73.6439707012708,-73.51964,-4.277494,980.140094824877,974.8203,94.64533,84.03208,84.45453,8706.555,750.8602
10.00004,S,4.180001,0.8150139,0.004689889,0.8615873,0.003312601,0,25.92702,27.64352,0.1061282,53.15,68.47048,4.91041,-66.3883119926062,-66.29287,-3.558561,910.386168285061,905.0694,90.91141,83.80942,84.26406,9645.557,843.5934
11.00006,S,5.180024,0.760569,0.001207524,0.8563221,0.001270784,0,25.92702,23.23087,0.03442523,53.15,68.47116,4.910628,-60.917709499712,-60.84239,-3.028351,847.005497195564,841.6597,87.6769,83.56056,84.05287,10518.17,932.8515
12.00008,S,6.180047,0.7685722,0.001140625,0.7894304,0.0009954596,329.8656,25.7071,21.15771,0.02690143,53.01899,68.47125,4.95265,354.436063092364,351.5275,45.31379,857.632150638653,851.7565,92.88361,83.29051,83.77652,11336.16,1019.774
13.00011,S,7.180069,1.12732,0.0007318364,1.644527,0.0007999166,359.6306,24.02833,90.86801,0.04443179,52.29129,67.64822,4.922095,327.969372592011,324.9915,44.09574,1251.43030168587,1242.268,143.8206,83.06325,83.39612,12386.33,1138.101
14.00013,S,8.180092,1.378323,0.0004282926,1.943619,0.0004968499,355.8117,22.44342,151.6943,0.03891111,51.56359,67.46537,5.096724,260.741307117964,258.0551,37.33088,1521.21997923993,1509.427,181.7162,82.86148,83.13534,13767.46,1301.245
15.00015,S,9.180115,1.622271,0.0006849307,1.641253,0.000495131,351.0965,20.88938,165.768,0.05015147,50.8359,66.93768,5.160829,253.586712943732,250.8307,37.28513,1779.46591249598,1764.988,219.196,82.68693,82.92062,15406.54,1501.701
16.00018,S,10.18014,1.826198,0.000001319035,1.472828,-0.0001057676,86.57066,19.50139,174.1026,-0.01248058,50.1082,66.48412,5.248693,-176.387494335636,-175.4968,-17.70371,1984.90133474148,1968.061,250.6751,82.5312,82.74123,17291.93,1738.908
17.0002,S,11.18016,1.593838,0.002116204,1.80129,0.002435757,0,19.4513,149.8393,0.2019594,49.89727,67.0003,5.481739,-279.776568840201,-277.9178,-32.19666,1719.32802711256,1704.104,220.9596,82.37177,82.61207,19138.07,1976.282
18.00022,S,12.18018,1.367474,-0.009454227,2.094004,-0.008682889,0,19.4513,119.738,-0.4949466,49.89727,67.48545,5.637236,-230.005922965067,-228.6259,-25.15795,1466.58697783525,1452.944,192.2423,82.1693,82.46284,20711.24,2182.396
19.00024,S,13.18021,1.176876,-0.00766995,2.141893,-0.00007630983,0,19.4513,85.5006,-0.003037767,49.89727,67.69326,5.703842,-173.360330552944,-172.3189,-18.97369,1256.0243480203,1243.661,168.4617,81.94663,82.28588,22054.75,2362.309
20.00027,S,14.18023,1.058534,0.006004885,1.42325,0.01326548,0,19.4513,43.6253,0.4058617,49.89727,67.57045,5.66448,-104.093559286375,-103.5513,-10.61119,1125.19933295613,1113.432,154.9694,81.71244,82.07638,23227.16,2523.325
21.00029,S,15.18025,0.9781018,0.008566347,1.113168,0.01014262,0,19.4513,27.77006,0.2526469,49.89727,67.99517,5.800608,-77.8917273316473,-77.58256,-6.933078,1035.63084014148,1024.087,146.8631,81.44579,81.83892,24293.3,2673.969
22.00031,S,16.18027,0.9161348,0.005478239,0.8852041,0.005165817,0,19.4513,18.52545,0.1079701,49.89727,68.37205,5.921402,-62.6329224715218,-62.45895,-4.665034,966.417324294902,954.8983,141.4322,81.15034,81.57504,25281.18,2817.949
23.00034,S,17.1803,0.8627795,-0.0003326763,0.8662062,-0.00004965932,0,19.4513,15.41293,-0.0008825031,49.89727,68.47157,5.953299,-57.5030345741868,-57.37329,-3.860645,906.87111709428,895.2701,137.2564,80.82528,81.28369,26205.56,2957.246
24.00036,S,18.18032,0.8129954,0.001168624,0.8613919,0.00102497,0,19.4513,13.07683,0.01554063,49.89727,68.47124,5.953196,-53.6401507136718,-53.53089,-3.421927,851.641829202533,839.9004,133.5945,80.47606,80.96225,27072.55,3092.633
25.00038,S,19.18034,0.7661361,0.002848177,0.8568606,0.002323947,0,19.4513,11.12395,0.03013222,49.89727,68.47081,5.953057,-50.4108432244816,-50.31843,-3.051019,799.978100030778,788.0387,130.3602,80.09153,80.60699,27885.99,3224.578
26.0004,S,20.18037,0.7217261,0.002762397,0.852566,0.002193531,0,19.4513,9.478224,0.02435542,49.89727,68.47086,5.953071,-47.6928378568635,-47.61615,-2.703524,751.318803837116,739.1224,127.4909,79.6649,80.21338,28649.1,3353.475
27.00043,S,21.18039,0.6793823,0.003500359,0.8484713,0.002772569,0,19.4513,8.081777,0.02637535,49.89727,68.47066,5.95301,-45.3856109440536,-45.32133,-2.41469,705.210896104486,692.6955,124.935,79.19302,79.77602,29364.59,3479.664
28.00045,S,22.18041,0.6387979,0.004177133,0.8445467,0.003323509,0,19.4513,6.889994,0.02707872,49.89727,68.47048,5.952951,-43.4169781953155,-43.36315,-2.1613,661.289751804326,648.3887,122.6505,78.6681,79.28838,30034.75,3603.435
29.00047,S,23.18044,0.5995476,0.005093562,0.8407563,0.004061332,0,19.4513,5.986586,0.02888,49.89727,68.47023,5.952871,-41.922669188024,-41.87593,-1.97906,619.07388785685,605.7172,120.5679,78.0817,78.74242,30661.46,3725.028
30.0005,S,24.18046,0.5615886,0.006180491,0.8395025,0.004923333,0,19.4513,5.099466,0.0298651,49.89727,68.46995,5.95278,-40.4571473441535,-40.41785,-1.782743,578.489664514412,564.5954,118.6901,77.42328,78.12807,31246.29,3844.641
31.00052,S,25.18048,0.5247787,0.008070897,0.8382867,0.006427721,0,19.4513,4.329444,0.03314952,49.89727,68.46944,5.952619,-39.1844044703478,-39.15128,-1.610847,539.357927834734,524.832,116.9966,76.68051,77.43298,31790.69,3962.469
32.00054,S,26.1805,0.4889868,0.01090575,0.8371154,0.008683294,0,19.4513,3.660299,0.03791148,49.89727,68.4687,5.952379,-38.0776527215683,-38.04969,-1.459016,501.516189049387,486.2498,115.4641,75.8376,76.64204,32295.93,4078.688
33.00056,S,27.18053,0.4541062,0.0148926,0.8359643,0.01185474,0,19.4513,3.078446,0.04358735,49.89727,68.46764,5.952039,-37.1144263883214,-37.09081,-1.323805,464.830073466009,448.6945,114.0744,74.87415,75.73554,32763.14,4193.446
34.00059,S,28.18055,0.4200573,0.0206912,0.8348419,0.01646565,0,19.4513,2.572764,0.0506598,49.89727,68.4661,5.951548,-36.2759436511612,-36.25596,-1.203932,429.195476948181,412.0356,112.8125,73.76427,74.68806,33193.25,4306.88
35.00061,S,29.18057,0.3867791,0.02919932,0.833748,0.02324359,0,19.4513,2.133841,0.05938511,49.89727,68.46385,5.950827,-35.5462220886503,-35.52926,-1.097993,394.529030272021,376.155,111.6632,72.47421,73.46626,33587.1,4419.11
36.00063,S,30.1806,0.3542382,0.04218414,0.8329909,0.0335838,0,19.4513,1.754462,0.07060443,49.89727,68.46041,5.949724,-34.9124791589266,-34.89798,-1.006078,360.777310171483,340.9525,110.6127,70.95985,72.02576,33945.43,4530.241
37.00066,S,31.18062,0.3224251,0.06228707,0.8336522,0.0495773,0,19.4513,1.429461,0.08484216,49.89727,68.4551,5.948022,-34.3650350732079,-34.35249,-0.9284753,327.912387645674,306.336,109.647,69.16169,70.30616,34268.85,4640.365
38.00064,S,32.18061,0.2913695,0.09448685,0.8341378,0.07519454,0,19.4513,1.149722,0.1034231,49.89727,68.4466,5.945298,-33.8872268310746,-33.87621,-0.8640245,295.947534695283,272.2291,108.7523,66.99952,68.22388,34557.93,4749.56
39.00048,S,33.18044,0.2611512,0.1477793,0.8344191,0.1176347,0,19.4513,0.9109803,0.1281332,49.89727,68.43254,5.940791,-33.4691085300906,-33.45921,-0.8139361,264.947779589848,238.5682,107.9149,64.36306,65.66067,34813.12,4857.89
40.00031,S,34.18027,0.2319177,0.2388965,0.8352162,0.1902859,0,19.4513,0.7102817,0.1614197,49.89727,68.40854,5.933098,-33.1009162621482,-33.09172,-0.7802082,235.047639781206,205.2986,107.1197,61.09908,62.44556,35034.85,4965.405
41.00014,S,35.1801,0.2039185,0.3994693,0.8452939,0.3185258,0,19.4513,0.5498824,0.2066515,49.89727,68.36637,5.919583,-32.7772270460589,-32.76821,-0.7687823,206.485761311812,172.3736,106.3475,56.99413,58.3271,35223.5,5072.137
41.99997,S,36.17994,0.1775706,0.6897396,0.8619568,0.5512818,0,19.4513,0.4214385,0.2687686,49.89727,68.29048,5.895259,-32.4710646224158,-32.4618,-0.7756149,179.672251331437,139.7605,105.577,51.75512,52.9321,35379.37,5178.1
42.99981,S,37.17977,0.1535732,1.212999,0.8885913,0.9740624,0,19.4513,0.322684,0.3526843,49.89727,68.1548,5.851771,-32.1579935538929,-32.14825,-0.7915626,155.304060531155,107.4554,104.793,44.99397,45.71867,35502.79,5283.286
43.99964,S,38.1796,0.133045,2.110531,0.9435993,1.709343,0,19.4513,0.25583,0.4621655,49.89727,67.92519,5.778177,-31.8131065831559,-31.80321,-0.7934634,134.504849485938,75.47764,103.9964,36.24602,35.97108,35594.07,5387.681
