Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.64168,0,0,102.58,107.2297,1.162434,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3231003,0.2811141,1.004151,0.2765598,911.0366,62.61271,12.29304,3.464202,100.689,107.1287,1.609933,429.707377826542,428.6096,30.69595,377.115612174406,376.041,21.1141,85.95469,86.78631,179.4556,9.80759
1.999998,B,1.999998,0.6326465,0.0399604,1.017135,0.03957483,653.509,58.83351,46.77655,1.834992,98.79797,107.2152,2.1043,299.731321348575,298.5802,26.24365,731.656805801418,729.182,52.7923,85.3261,85.85905,746.2453,47.79996
2.999998,B,2.999998,0.8690369,0.004971488,1.039019,0.004045295,584.5704,55.85323,87.32909,0.3417405,96.90694,107.2282,2.580324,254.394255077182,253.1977,24.64471,1000.63850127238,996.969,78.28172,85.09663,85.51036,1614.663,113.6101
3.999997,B,3.999997,1.068392,0.003014326,2.071708,0.003134113,594.8054,52.95475,252.3011,0.382785,95.01593,108.3581,3.335553,176.085699443761,175.0526,19.04628,1224.32069921202,1219.531,100.8561,84.93327,85.27235,2731.37,203.7071
5.00002,B,5.00002,1.21173,0.002263424,2.032487,0.002312376,591.8848,50.0479,302.6199,0.3450609,93.12486,108.0012,3.719095,153.965263093674,152.94,17.73862,1382.15894907433,1376.403,118.6735,84.77147,85.07214,4030.982,313.4995
6.000038,S,0.18,1.259292,-0.04642956,1.22286,-0.03712028,0,27.74309,112.8586,-3.418046,53.15,68.88735,5.044023,-163.074446491316,-162.9011,-7.517095,1426.31269994091,1420.155,125.0572,84.62763,84.96758,5464.33,439.0452
7.000038,S,1.179999,1.136307,0.01048264,1.192547,-0.004136338,0,27.74309,84.63411,-0.2929569,53.15,68.85789,5.034581,-130.234585303917,-129.9584,-8.477115,1281.33342328709,1275.474,115.0636,84.52898,84.84516,6808.735,558.8564
8.000036,S,2.179998,1.035043,0.02873629,1.156894,0.0186763,0,27.74309,64.55727,1.040265,53.15,68.88464,5.043155,-106.918823794792,-106.6113,-8.103431,1162.43194703079,1156.787,107.0847,84.37989,84.71115,8022.459,669.7413
9.000036,S,3.179997,0.9554854,-0.01025784,0.954622,-0.00411758,0,27.74309,43.13873,-0.1857855,53.15,69.23867,5.156625,-82.1221254072939,-81.99727,-4.52672,1069.16296653206,1063.63,101.2959,84.15822,84.55978,9130.158,773.7513
10.00004,S,4.180001,0.8923973,0.006596295,0.8406773,0.005487774,0,27.74309,31.86164,0.2076985,53.15,69.48129,5.234386,-69.0309089276977,-68.92335,-3.85204,995.101574326452,989.5925,97.22994,83.97484,84.38856,10155.27,872.9268
