Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.37317,0,0,102.58,121.1716,4.6479,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3251008,-0.0005321092,0.7036942,0.01429057,911.0388,62.3442,8.721508,0.1812339,100.6784,121.1212,5.110704,433.596115232277,431.9783,37.42111,379.461772715948,378.2107,23.45304,85.3456,86.45161,180.3827,10.37287
1.999998,B,1.999998,0.6400327,-0.08881775,0.7075958,-0.02664503,653.5222,58.56501,33.29885,-1.264416,98.7767,121.0778,5.575268,308.724561910776,307.0846,31.77898,740.240427283186,737.2761,58.84538,84.78187,85.43664,751.8781,53.00538
2.999998,B,2.999998,0.8871985,0.04231394,0.7107284,0.01555143,584.6143,55.58472,62.21507,1.368562,96.87505,121.1167,6.060416,270.350339607018,268.9551,27.43101,1021.59362249765,1017.134,88.01675,84.68674,85.05428,1633.893,126.8156
3.999997,B,3.999997,1.117439,-0.004223587,1.005261,-0.001170742,594.9203,52.68625,133.6577,-0.1562682,94.9734,125.3477,7.593585,249.684848918078,248.1458,27.68006,1280.96258723098,1275.017,115.9403,84.47329,84.80425,2783.47,228.9127
5.00002,B,5.00002,1.338788,0.0006373097,0.9333946,0.0003155517,592.2061,49.7794,168.6324,0.0571903,93.07171,124.5236,7.862975,241.782013058226,240.2114,27.51409,1527.04171743173,1519.573,143.5103,84.33156,84.60492,4182.584,358.641
