Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,60.76649,0,0,102.58,141.5189,9.734734,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.35583,0.2211828,1.938287,0.6049584,911.0803,56.73752,28.76109,9.182535,100.4254,141.4669,10.26037,468.237868432713,466.3113,42.43198,415.242702286575,413.2402,33.3963,84.59196,85.37964,197.9705,12.8208
1.999998,B,1.999998,0.6817061,0.00269507,2.086339,0.007475791,653.6686,52.95833,111.1313,0.4012322,98.27083,141.5183,10.81187,297.630018388708,295.6535,34.24377,787.967850393763,783.791,73.6897,84.10069,84.62901,814.2944,67.5584
2.999998,B,2.999998,0.8989689,0.001924288,2.275223,0.005478865,584.8326,49.97804,203.7628,0.4927031,96.11624,141.5185,11.35056,213.368972879011,211.6744,26.83779,1034.21956378113,1028.281,103.337,83.85893,84.26133,1728.807,156.7166
